,filename,rank,rank_n,time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
0,364_6429fa2ae4b683928e1f99bcd9897fa1.jpg,2425.1111111111113,0.20167592592592593,2.865,974_261687552998_10.JPG,951_231463768380_2.JPG,367_c106508ab3b35507f878466f753ce376.jpg,630_108.jpg,368_b1ea8ff471b2f187c58d04bec1d4272d.jpg,53_8e68f82933b3d5bf.jpg,38_8af103b9d32cf09f.jpg,616_062.jpg,868_141735846173_1.JPG,645_026.jpg
0,406_sketch_18.JPEG,3321.777777777778,0.27639814814814817,2.858,406_sketch_24.JPEG,414_sketch_21.JPEG,431_sketch_22.JPEG,481_sketch_22.JPEG,409_sketch_6.JPEG,422_sketch_24.JPEG,841_121697860220_10.JPG,572_sketch_34.JPEG,420_sketch_12.JPEG,477_sketch_6.JPEG
0,342_88f4320fda6f989f889c3a9f613efb73.jpg,1231.2222222222222,0.10218518518518518,2.774,325_a7e5ac0c69bfbef41a8ed91081ecb46f.jpg,151_6023ae2c97d146c7.jpg,307_f09abfa247e918039e4ec1516e99045b.jpg,259_1c7d128b8348bcc4aca0f6e83a3da48d.jpg,339_2ee0b0ea031c00120cb71f4e55676d8d.jpg,77_6e6163bce8833718.jpg,348_146386f3bca84dc58432c92d47c0eca8.jpg,608_005.jpg,256_9192ec937357e59c0e9e6028ac2f5eb2.jpg,255_61ab874276f178f60ee6db9e608b0d48.jpg
0,342_51052ae25115b009a024f1b3e092e57b.jpg,1172.5555555555557,0.0972962962962963,2.901,109_8224a2e58e9d9457.jpg,343_5b7b8525bfd523a16766ecd240970020.jpg,87_510a7a4977c43f2e.jpg,876_151482166428_2.JPG,377_099261eedf97d4cd4d54bb1a8f7d041b.jpg,335_b1e830b0a2bf89c2ce336a0b23abccc7.jpg,0_8c54ccf63a12ee74.jpg,328_a64a84eacaf3d284f4271a3c1cf94ace.jpg,207_37d7d80966d4435a4f05e03d00bb3203.jpg,130_8f6afe21472dd2f8.jpg
0,471_sketch_12.JPEG,5805.555555555556,0.4833796296296296,2.885,286_fc87e7ab8a195297e740a096179544c7.jpg,350_d20615221408e9f3c782d4904045643b.jpg,407_sketch_21.JPEG,599_sketch_21.JPEG,327_4bea789af299529f5e163956b55ba13b.jpg,441_sketch_6.JPEG,350_47ef54a54aa44c0259f51b3597a5b0f8.jpg,456_sketch_22.JPEG,439_sketch_29.JPEG,281_cafd11ff1f3453190b3b7ab37f4339a8.jpg
0,595_sketch_21.JPEG,1216.3333333333333,0.10094444444444445,2.839,568_sketch_6.JPEG,544_sketch_26.JPEG,433_sketch_6.JPEG,556_sketch_0.JPEG,521_sketch_12.JPEG,594_sketch_24.JPEG,536_sketch_29.JPEG,562_sketch_12.JPEG,497_sketch_0.JPEG,489_sketch_19.JPEG
0,933_221456594980_7.JPG,928.0,0.07691666666666666,2.809,933_221456594980_11.JPG,933_221456594980_4.JPG,968_252040489325_10.JPG,719_025.jpg,890_171554842832_6.JPG,752_101.jpg,584_sketch_24.JPEG,120_9f4cc58504e8e467.jpg,716_082.jpg,878_151640054786_6.JPG
0,944_221846144765_2.JPG,1137.0,0.09433333333333334,2.799,944_221846144765_6.JPG,589_sketch_0.JPEG,944_221846144765_0.JPG,615_067.jpg,1167_nm1212051_rm851745536_1978-4-8_2002.jpg,879_151647922959_6.JPG,1199_nm1579753_rm2609034240_1982-9-4_2012.jpg,588_sketch_26.JPEG,1005_nm2650819_rm2920734208_1993-11-22_2013.jpg,867_141723051495_10.JPG
0,1115_nm0973177_rm1197182208_1986-10-22_2010.jpg,1817.2222222222222,0.15101851851851852,2.767,1115_nm0973177_rm1331399936_1986-10-22_2010.jpg,1180_nm1199888_rm3016395008_1996-2-17_2009.jpg,1064_nm1294664_rm1712058880_1994-8-27_2015.jpg,1156_nm0000830_rm4281113088_1977-11-16_2005.jpg,1174_nm0001233_rm1692701952_1941-7-13_2006.jpg,1115_nm0973177_rm1297845504_1986-10-22_2010.jpg,1006_nm0330722_rm2150406912_1948-3-31_2007.jpg,1056_nm2832695_rm2706635008_1985-2-7_2014.jpg,1085_nm2312345_rm1563601408_1985-3-22_2012.jpg,1165_nm0452963_rm2207357696_1990-2-11_2005.jpg
0,202_956b6b5c33af270c43abfd7974e77d92.jpg,2296.0,0.19091666666666665,2.951,651_051.jpg,200_15ef04f61605248712efae9db7abd48a.jpg,36_7582f6fea74d3e2c.jpg,37_24b7678c2e73d3e1.jpg,652_027.jpg,174_0065bbc2710ba4ca.jpg,292_18a8c4f9dd4e10d003501bb3575bf212.jpg,223_51a45e675da8d118a48cdf691776dc1b.jpg,208_b76082c8e8e5f408931561e0108bdaeb.jpg,445_sketch_29.JPEG
