,filename,rank,rank_n,time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
0,581_sketch_22.JPEG,2416.5555555555557,0.20096296296296295,2.246,581_sketch_6.JPEG,403_sketch_24.JPEG,705_090.jpg,442_sketch_19.JPEG,412_sketch_26.JPEG,448_sketch_22.JPEG,581_sketch_21.JPEG,481_sketch_3.JPEG,448_sketch_0.JPEG,481_sketch_29.JPEG
0,484_sketch_32.JPEG,9604.777777777777,0.7999814814814815,2.189,228_1951feb5ac5243d70f89b267c05d413f.jpg,236_6fa43a8f244afeb6149db7110e684347.jpg,32_b83af5765d18fbc2.jpg,647_089.jpg,609_078.jpg,262_7fb8bc547f28510e0b3080d9e795a4b0.jpg,246_2c0ee081194477d0745c3e2e603f48d7.jpg,240_962fa1ac0aad343970a3148553d05a18.jpg,246_1bdbe0edca19d928547e7541721f583c.jpg,615_002.jpg
0,1000_nm1265067_rm1387895552_1975-7-6_2006.jpg,3837.0,0.3193333333333333,2.117,1186_nm0000430_rm1578796288_1958-8-24_1988.jpg,1138_nm0001884_rm3232865024_1929-4-10_2007.jpg,476_sketch_22.JPEG,1057_nm0000598_rm3952650496_1954-4-9_2012.jpg,1133_nm0000532_rm3223099392_1943-6-13_2001.jpg,1069_nm0001449_rm148739328_1938-1-1_2008.jpg,737_098.jpg,1000_nm1265067_rm3130391296_1975-7-6_2014.jpg,1115_nm0973177_rm1005573888_1986-10-22_2014.jpg,1011_nm0848554_rm2305664512_1983-5-14_2003.jpg
0,730_087.jpg,3100.8888888888887,0.25799074074074074,2.221,73_cbfef13d9b45e141.jpg,73_ecbc52244f3b2cd9.jpg,333_fd5f45e8e1c1de37a4888f9af0d4a492.jpg,31_9b4391e9904c3b49.jpg,97_a3008758b0857e9b.jpg,157_177f0625bb6530eb.jpg,517_sketch_26.JPEG,34_852dd2e528ae6f8f.jpg,641_014.jpg,113_cf98fdc0a4746e62.jpg
0,280_65e748321c798022c158eddfb04ae01b.jpg,2956.4444444444443,0.2459537037037037,2.193,58_9d61f13f96458298.jpg,267_b10014f17faee302875e73ca5ae4b657.jpg,344_e97066573d042c2ce0187d01698aa4eb.jpg,342_0552bb103901d3e1a726b885ff986a4f.jpg,250_0fd04d2961d8c143e743ae1b34b28cfd.jpg,286_1eb4712611b14ee8c806187b6a59092f.jpg,136_a57a2d8a00aafcf8.jpg,52_db1ac97ff78a809b.jpg,329_d33b732344f97f519039475c192f5f01.jpg,612_037.jpg
0,526_sketch_24.JPEG,1476.888888888889,0.12265740740740741,2.206,526_sketch_21.JPEG,557_sketch_12.JPEG,495_sketch_0.JPEG,539_sketch_29.JPEG,985_271428704611_0.JPG,828_121019663343_10.JPG,906_181737556811_9.JPG,436_sketch_6.JPEG,906_181737556811_5.JPG,526_sketch_12.JPEG
0,833_121500066304_2.JPG,4013.5555555555557,0.3340462962962963,2.18,144_bcadc8919ba845b9.jpg,123_5677bf8d6537d078.jpg,28_40235d2d1d9ce3e4.jpg,747_024.jpg,20_3dce3f148649f1d6.jpg,84_26e3a6454e8505a4.jpg,154_225b359bf0903a83.jpg,19_2b5bfadce3ac311e.jpg,765_039.jpg,84_8a85cf18ff178c3d.jpg
0,721_010.jpg,5467.444444444444,0.4552037037037037,2.191,5_12573a2ee572a812.jpg,179_7713d9d5e551b576.jpg,163_611d809a24fbd20a.jpg,105_d83c926e55dbe625.jpg,13_2cb1df9697cd1e00.jpg,487_sketch_26.JPEG,271_599f7eb732966df00108913d7dfdbbf0.jpg,442_sketch_12.JPEG,517_sketch_45.JPEG,475_sketch_26.JPEG
0,140_e6c825938ddef7d0.jpg,820.5555555555555,0.06796296296296296,2.126,79_aec21ae0a0e95c1f.jpg,82_38e03d4abbf15221.jpg,113_fff78a3e166e1baa.jpg,113_ffffc6f37b8754f3.jpg,271_599f7eb732966df00108913d7dfdbbf0.jpg,82_b6ef8672b1e6d09e.jpg,517_sketch_45.JPEG,77_8b0c51526f679043.jpg,66_bbfd37876ca9e1d2.jpg,82_e50dd975f7f05d59.jpg
0,586_sketch_34.JPEG,10569.888888888889,0.8804074074074074,2.211,48_84bcd0be11d037bd.jpg,25_533b62bfe6fa33e5.jpg,525_sketch_24.JPEG,412_sketch_34.JPEG,464_sketch_18.JPEG,109_31cc24a1c266baae.jpg,164_f76abaa6033a2cb9.jpg,60_ebfea0247186219c.jpg,5_70d81689502151da.jpg,801_110763216125_0.JPG
