,filename,rank,rank_n,time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
0,63_397572eea8e5784a.jpg,1984.5555555555557,0.16496296296296295,3.778,264_52222e4d79d303d2c9ceca45eb2bd782.jpg,612_052.jpg,258_ced09e8f8865b0e529f3587911a7ac1f.jpg,378_d895bc399a39792688c9a8b6e2dbf745.jpg,608_098.jpg,362_2285feda7de0b6068586807a4188ac8c.jpg,127_94935ccda251caf2.jpg,236_31f55033f376d220ec9e6e93cffbdad3.jpg,260_63e6cb45fe6925c3f8c49c9d6f258cdf.jpg,608_095.jpg
0,42_f98bb89dfaf42938.jpg,937.1111111111111,0.07767592592592593,4.002,346_9f65c8e9ba3e8f7b08b439a711ac8258.jpg,42_39530ee04add9231.jpg,41_8b85f8d642c1b520.jpg,242_f0462c453af5ca90aab04cb880df3329.jpg,259_1c7d128b8348bcc4aca0f6e83a3da48d.jpg,603_093.jpg,242_5fd028669a880c75e017908bd1421106.jpg,85_150c2d5877729b42.jpg,261_0a3f35334ef7ffa3048c37e4b5c1d907.jpg,238_b45b8c680a7876ffc28713b96e9a1a39.jpg
0,465_sketch_6.JPEG,8582.0,0.71475,3.854,441_sketch_0.JPEG,557_sketch_29.JPEG,556_sketch_21.JPEG,449_sketch_22.JPEG,420_sketch_21.JPEG,244_46e1de780a074f837800bf50d208fcf0.jpg,585_sketch_26.JPEG,557_sketch_6.JPEG,517_sketch_29.JPEG,256_bc59bf91de48d82eaac98e652d6ce8e4.jpg
0,330_12b89c2fe255223259a43969eccc7583.jpg,3627.0,0.30183333333333334,3.87,258_ced09e8f8865b0e529f3587911a7ac1f.jpg,245_2466ab9b79dac7fba9aede08221c3809.jpg,256_bc59bf91de48d82eaac98e652d6ce8e4.jpg,236_31f55033f376d220ec9e6e93cffbdad3.jpg,349_94f48d646106a747461ef48202f1b419.jpg,91_648fcb75f1a80121.jpg,258_5eebdfa60eb28f44b50b9045240ffe87.jpg,264_52222e4d79d303d2c9ceca45eb2bd782.jpg,262_6cc413f82572b78adf819d114448ab9e.jpg,344_e97066573d042c2ce0187d01698aa4eb.jpg
0,299_f2f6efc23b8e07e81f193b607500d722.jpg,1700.111111111111,0.14125925925925925,3.798,260_11902e78f74b3fcd302da2080ab2252f.jpg,242_5fd028669a880c75e017908bd1421106.jpg,248_8187e36a0c2b89a7320cec725ed44983.jpg,388_73ce4faae24697205017792f6ec73d55.jpg,388_780e3aedc79194ebb8edf9914741da0f.jpg,240_962fa1ac0aad343970a3148553d05a18.jpg,290_54b3a05769ed09c1ec807b3485eb3d62.jpg,259_8e82b88656b7e1a3a4e74d16da4b76ad.jpg,104_70052fbb28a21a71.jpg,792_095.jpg
0,269_6568bda0d2a774c7cbce73cbbb89939d.jpg,4726.111111111111,0.3934259259259259,3.848,242_f0462c453af5ca90aab04cb880df3329.jpg,242_5fd028669a880c75e017908bd1421106.jpg,259_e09dd2d12731d3d372c0f40776942ad4.jpg,384_d4462e17e41b451a8ec8842753a934c9.jpg,347_6b7171a01b966e3855bcc7de6dd30d9f.jpg,462_sketch_32.JPEG,266_4312a5eff8bdf98109c7784369913900.jpg,255_0d009e44c60f3445bc5ebdacfd35e841.jpg,260_b5bf7b12e91b8cf6fb7bb22be0bda7a0.jpg,647_089.jpg
0,290_ada3d7435bf2ddafd4dab3064718ad7c.jpg,2060.8888888888887,0.17132407407407407,4.652,240_01b3841571bce544b500058ddd09a8b2.jpg,240_962fa1ac0aad343970a3148553d05a18.jpg,362_7a699fc7ae958545299142923de73cf5.jpg,240_174fdd26bdae25782a396def9ce7f91f.jpg,67_c151b0489ae4c431.jpg,275_40f574683c59d2324408bd4a39aaed37.jpg,258_8733e8dfd686bdaa6c1fb2e806d6ff00.jpg,223_e28f3f4b8e309f36dde2607cfd364f77.jpg,390_32ade651a1708cc3a125e555446190b2.jpg,275_1b31e2207219d9655e0e195e3350d3c2.jpg
0,929_201392631932_10.JPG,6640.333333333333,0.5529444444444445,3.985,259_8e82b88656b7e1a3a4e74d16da4b76ad.jpg,242_5fd028669a880c75e017908bd1421106.jpg,41_8b85f8d642c1b520.jpg,242_f0462c453af5ca90aab04cb880df3329.jpg,253_90d3a68ed91ddae941539a99a3d527da.jpg,620_005.jpg,41_c1aec1cdbfe01c81.jpg,603_093.jpg,260_b5bf7b12e91b8cf6fb7bb22be0bda7a0.jpg,209_b7b6a8fa3a70f4dcd705c1c2e79f5ec7.jpg
0,1156_nm0000830_rm1875221248_1977-11-16_2005.jpg,4790.444444444444,0.39878703703703705,3.922,203_53d7daf27ccef69d3e5578ae3a214b0e.jpg,293_45d2651c0662c8da03873e1742539136.jpg,505_sketch_12.JPEG,254_545a842e0a2b99e42b4a80ee703a5b82.jpg,227_788c05fb30ac168edd274cc3671cb72d.jpg,302_9d67da8125fbd850c647d5054aee2f69.jpg,388_fe5e52f4559d022577efdcd09860413f.jpg,290_4f459dd37a2d285426ea5b8616c20bee.jpg,351_c3476596741c321c68a56a8880cd636d.jpg,261_ca2d733e1b0714b85fee317cfe3f4b82.jpg
0,705_030.jpg,8208.0,0.6835833333333333,4.047,299_4c58256af205829bd33c799a9324b29a.jpg,282_42fd84454b4dafb640680f64c6c6816c.jpg,246_f672b6e13ca0d130f4e8236fdd9fbd02.jpg,240_962fa1ac0aad343970a3148553d05a18.jpg,262_6d60b74de7aa3a6d126acbb740090433.jpg,262_7fb8bc547f28510e0b3080d9e795a4b0.jpg,388_73ce4faae24697205017792f6ec73d55.jpg,267_4f0f8c95692ef67df953b5c6d4d2e593.jpg,246_2c0ee081194477d0745c3e2e603f48d7.jpg,237_275aee0ced4903435e7e56246acb7cf5.jpg
