,filename,rank,rank_n,time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
0,651_061.jpg,1882.0,0.15641666666666668,3.423,242_f0462c453af5ca90aab04cb880df3329.jpg,260_11902e78f74b3fcd302da2080ab2252f.jpg,248_8187e36a0c2b89a7320cec725ed44983.jpg,256_fd4c0220da31da11e1417e53abce5ae7.jpg,677_004.jpg,209_b7b6a8fa3a70f4dcd705c1c2e79f5ec7.jpg,260_b5bf7b12e91b8cf6fb7bb22be0bda7a0.jpg,259_e09dd2d12731d3d372c0f40776942ad4.jpg,384_bf59160d4b2c5ad5a83ca499ce2c4fef.jpg,242_5fd028669a880c75e017908bd1421106.jpg
0,250_f67ce6e881d4ed71a7c749ce1ef2b5f9.jpg,1724.2222222222222,0.14326851851851852,3.194,240_962fa1ac0aad343970a3148553d05a18.jpg,299_4c58256af205829bd33c799a9324b29a.jpg,299_ebd2c33c386448c8e1526a1f0f975acd.jpg,780_007.jpg,390_32ade651a1708cc3a125e555446190b2.jpg,275_40f574683c59d2324408bd4a39aaed37.jpg,282_42fd84454b4dafb640680f64c6c6816c.jpg,254_e7547b4d6cf6e89ef62010e1f83cd4c6.jpg,240_01b3841571bce544b500058ddd09a8b2.jpg,362_7a699fc7ae958545299142923de73cf5.jpg
0,180_42023843d237b3df.jpg,3994.1111111111113,0.3324259259259259,3.229,256_bc59bf91de48d82eaac98e652d6ce8e4.jpg,275_db9372f549af9dc4905275a98a14b351.jpg,347_6b7171a01b966e3855bcc7de6dd30d9f.jpg,280_f596428e6db045a6ab2154257560b7ea.jpg,258_ced09e8f8865b0e529f3587911a7ac1f.jpg,244_46e1de780a074f837800bf50d208fcf0.jpg,266_0b4eb4affc1804f05f0c68275dcac60b.jpg,462_sketch_24.JPEG,264_30e5f466ebc375dc6eaae35b33da2d6a.jpg,259_4b00918d153033e43feaa32648166caa.jpg
0,733_123.jpg,5414.0,0.45075,3.201,378_d895bc399a39792688c9a8b6e2dbf745.jpg,608_005.jpg,384_4caa7faf782dcbb7869c9039cdf1d7a6.jpg,264_30e5f466ebc375dc6eaae35b33da2d6a.jpg,258_ced09e8f8865b0e529f3587911a7ac1f.jpg,608_095.jpg,264_52222e4d79d303d2c9ceca45eb2bd782.jpg,345_948963c3b41d83c52ae2ed5e31d6ca61.jpg,608_076.jpg,399_028a21312b5a04ea288f0e1a331c1694.jpg
0,183_c6d395b425a49efe.jpg,2910.6666666666665,0.24213888888888888,3.218,242_f0462c453af5ca90aab04cb880df3329.jpg,259_e09dd2d12731d3d372c0f40776942ad4.jpg,242_5fd028669a880c75e017908bd1421106.jpg,294_482bb47d9eaf14f2bcbc77d06f9090a0.jpg,384_d4462e17e41b451a8ec8842753a934c9.jpg,256_fd4c0220da31da11e1417e53abce5ae7.jpg,290_54b3a05769ed09c1ec807b3485eb3d62.jpg,384_bf59160d4b2c5ad5a83ca499ce2c4fef.jpg,260_b5bf7b12e91b8cf6fb7bb22be0bda7a0.jpg,209_b7b6a8fa3a70f4dcd705c1c2e79f5ec7.jpg
0,225_78e10cc0d5a411898cddacfed0b21e6b.jpg,3874.6666666666665,0.3224722222222222,3.219,346_9f65c8e9ba3e8f7b08b439a711ac8258.jpg,242_f0462c453af5ca90aab04cb880df3329.jpg,347_6b7171a01b966e3855bcc7de6dd30d9f.jpg,384_4caa7faf782dcbb7869c9039cdf1d7a6.jpg,258_ced09e8f8865b0e529f3587911a7ac1f.jpg,253_90d3a68ed91ddae941539a99a3d527da.jpg,259_8e82b88656b7e1a3a4e74d16da4b76ad.jpg,242_5fd028669a880c75e017908bd1421106.jpg,678_063.jpg,275_db9372f549af9dc4905275a98a14b351.jpg
0,466_sketch_12.JPEG,10259.666666666666,0.8545555555555555,3.112,557_sketch_29.JPEG,556_sketch_21.JPEG,449_sketch_22.JPEG,557_sketch_6.JPEG,401_sketch_50.JPEG,420_sketch_21.JPEG,441_sketch_0.JPEG,517_sketch_29.JPEG,585_sketch_26.JPEG,461_sketch_22.JPEG
0,538_sketch_24.JPEG,10515.222222222223,0.8758518518518519,2.959,557_sketch_29.JPEG,449_sketch_22.JPEG,556_sketch_21.JPEG,557_sketch_6.JPEG,430_sketch_0.JPEG,420_sketch_21.JPEG,517_sketch_29.JPEG,585_sketch_26.JPEG,401_sketch_50.JPEG,461_sketch_22.JPEG
0,683_023.jpg,2577.3333333333335,0.2143611111111111,3.131,384_d4462e17e41b451a8ec8842753a934c9.jpg,282_0298a0520769cf3d7c43f0fc15ad52e6.jpg,647_089.jpg,260_fcac8623bf677ee737ecaa0d07525a9c.jpg,242_f0462c453af5ca90aab04cb880df3329.jpg,146_6aa4e9d520c757b3.jpg,462_sketch_24.JPEG,244_46e1de780a074f837800bf50d208fcf0.jpg,197_bbab2d01bc4ca43a.jpg,16_8537de78868a1dea.jpg
0,1115_nm0973177_rm1297845504_1986-10-22_2010.jpg,7730.666666666667,0.6438055555555555,3.171,505_sketch_12.JPEG,261_ca2d733e1b0714b85fee317cfe3f4b82.jpg,377_92cb9bd3884ede6e68eb09a869d71dea.jpg,235_46f6686699713a84ac95014406e70884.jpg,259_d4979de23d840c9321c0ab4d0664db1f.jpg,246_1bdbe0edca19d928547e7541721f583c.jpg,254_545a842e0a2b99e42b4a80ee703a5b82.jpg,321_28c63070d3227068f2573b58751d244c.jpg,356_fc4749dd649707de32fbf6afa9c434e1.jpg,299_4c58256af205829bd33c799a9324b29a.jpg
0,551_sketch_12.JPEG,11228.333333333334,0.9352777777777778,2.978,556_sketch_21.JPEG,449_sketch_22.JPEG,557_sketch_29.JPEG,462_sketch_24.JPEG,430_sketch_0.JPEG,549_sketch_6.JPEG,557_sketch_6.JPEG,585_sketch_26.JPEG,517_sketch_29.JPEG,256_bc59bf91de48d82eaac98e652d6ce8e4.jpg
0,679_082.jpg,1622.6666666666667,0.13480555555555557,3.321,242_5fd028669a880c75e017908bd1421106.jpg,248_8187e36a0c2b89a7320cec725ed44983.jpg,290_54b3a05769ed09c1ec807b3485eb3d62.jpg,780_007.jpg,41_4b7d2039b76d2c8e.jpg,52_4b229c39c3a59b35.jpg,209_b7b6a8fa3a70f4dcd705c1c2e79f5ec7.jpg,52_ab21483294c7edb8.jpg,41_5d7b96d195193ed2.jpg,256_fd4c0220da31da11e1417e53abce5ae7.jpg
0,837_121629182118_9.JPG,6198.111111111111,0.5160925925925925,3.13,294_482bb47d9eaf14f2bcbc77d06f9090a0.jpg,240_77c44f0846bae0cba96c79647632da94.jpg,261_fc8de1c04362d05ea442c05128331a6a.jpg,307_f09abfa247e918039e4ec1516e99045b.jpg,282_d0938c3293137597de4e19ac07dea715.jpg,285_937ca7b0f47c79dba675de10c4949569.jpg,350_6dc8aece0be4bb8898edd55d524a8b42.jpg,780_007.jpg,388_73ce4faae24697205017792f6ec73d55.jpg,91_a603490b2f88d1cd.jpg
0,526_sketch_0.JPEG,8978.222222222223,0.7477685185185186,3.177,449_sketch_22.JPEG,557_sketch_29.JPEG,556_sketch_21.JPEG,430_sketch_0.JPEG,585_sketch_26.JPEG,462_sketch_24.JPEG,549_sketch_6.JPEG,441_sketch_0.JPEG,420_sketch_21.JPEG,557_sketch_6.JPEG
0,308_dfe265a69897799269b252e2ad414387.jpg,3988.0,0.33191666666666664,3.297,378_d895bc399a39792688c9a8b6e2dbf745.jpg,203_18c1d34496c45a06a4c950aaa9a7879b.jpg,207_37d7d80966d4435a4f05e03d00bb3203.jpg,362_2285feda7de0b6068586807a4188ac8c.jpg,264_52222e4d79d303d2c9ceca45eb2bd782.jpg,295_41ea6a264d739d6265d8c9bf1a2b9b7d.jpg,261_8413771f0972ba0f7b501d480447e097.jpg,200_b01ab6dd722c49cb19e90eff8b3e3a94.jpg,258_ced09e8f8865b0e529f3587911a7ac1f.jpg,214_e78a2644d55cd45ee1ad087aec117301.jpg
0,391_a12c25a1b397036e84d0fb5420148451.jpg,1657.7777777777778,0.13773148148148148,3.244,260_5b91e6d47d6e74f49f5551ea45abf1de.jpg,233_1a4ac6a762c169ac282557aa74e81d45.jpg,267_b10014f17faee302875e73ca5ae4b657.jpg,249_8be528092a8aa40551f12a74a3593bab.jpg,260_bf109f867fa69ce65e234e51f62b426e.jpg,266_d98edfb50a8cd8645967007d19744eb9.jpg,214_e78a2644d55cd45ee1ad087aec117301.jpg,275_7e4a08c6aab1c7bf9c23e3ad599c31e7.jpg,239_034f20076fb79d7b7e408c258a3f5c85.jpg,255_61ab874276f178f60ee6db9e608b0d48.jpg
0,171_47b5093333945855.jpg,4391.888888888889,0.36557407407407405,3.215,259_e09dd2d12731d3d372c0f40776942ad4.jpg,197_bbab2d01bc4ca43a.jpg,258_66c1a0dec56c16078f4ff9e85ac05856.jpg,216_711c35092693d65c946caaaaaa3bdc78.jpg,242_5fd028669a880c75e017908bd1421106.jpg,676_085.jpg,792_095.jpg,257_944e6f3078e25dadcb861a92ae843d4a.jpg,260_fcac8623bf677ee737ecaa0d07525a9c.jpg,557_sketch_29.JPEG
