filename,rank,rank_n,time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
100000.jpg,32,0.02045607,0.687,147303.jpg,136008.jpg,120301.jpg,147802.jpg,129001.jpg,126201.jpg,113501.jpg,136009.jpg,129602.jpg,135901.jpg
100100.jpg,1,0,0.678,100101.jpg,148603.jpg,136804.jpg,125801.jpg,125802.jpg,136801.jpg,135002.jpg,130102.jpg,136802.jpg,142001.jpg
100200.jpg,116,0.077129443,0.687,136803.jpg,136804.jpg,125801.jpg,136802.jpg,136805.jpg,130102.jpg,125802.jpg,148603.jpg,136801.jpg,147402.jpg
100300.jpg,10.5,0.006036217,0.696,136804.jpg,130102.jpg,125801.jpg,136801.jpg,136802.jpg,136805.jpg,125802.jpg,100302.jpg,136803.jpg,148603.jpg
100400.jpg,474,0.317236754,0.683,147401.jpg,136804.jpg,136802.jpg,125801.jpg,130102.jpg,125802.jpg,136805.jpg,136803.jpg,136801.jpg,148603.jpg
100500.jpg,65,0.042253521,0.679,129001.jpg,126201.jpg,147101.jpg,147303.jpg,107301.jpg,147602.jpg,104701.jpg,111702.jpg,111701.jpg,129602.jpg
100600.jpg,713,0.477531858,0.705,136805.jpg,136804.jpg,125802.jpg,136802.jpg,125801.jpg,147401.jpg,142001.jpg,114601.jpg,130102.jpg,102802.jpg
100700.jpg,233,0.155600268,0.701,125801.jpg,136804.jpg,130102.jpg,136802.jpg,134703.jpg,100301.jpg,125802.jpg,131802.jpg,135002.jpg,136803.jpg
100800.jpg,57,0.037558685,0.665,131301.jpg,132510.jpg,101301.jpg,126804.jpg,143904.jpg,106701.jpg,107701.jpg,143903.jpg,126601.jpg,143803.jpg
100900.jpg,322,0.214956405,0.699,143803.jpg,125702.jpg,125701.jpg,131802.jpg,125801.jpg,136805.jpg,136803.jpg,125802.jpg,136804.jpg,130102.jpg
101000.jpg,819,0.548625084,0.707,132902.jpg,148603.jpg,130102.jpg,147402.jpg,108101.jpg,125802.jpg,144701.jpg,148002.jpg,114901.jpg,136804.jpg
