filename,rank,rank_n,time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
105600.jpg,121,0.080482897,0.605,130102.jpg,136804.jpg,125801.jpg,136802.jpg,125802.jpg,142001.jpg,136803.jpg,136805.jpg,148603.jpg,147402.jpg
118900.jpg,202,0.134808853,0.57,125801.jpg,136804.jpg,130102.jpg,136803.jpg,136802.jpg,147402.jpg,125802.jpg,136801.jpg,148603.jpg,136805.jpg
146800.jpg,98,0.065057009,0.645,146901.jpg,134504.jpg,100501.jpg,100001.jpg,147101.jpg,127301.jpg,100503.jpg,106301.jpg,104801.jpg,128501.jpg
102000.jpg,188,0.125419182,0.635,136804.jpg,100302.jpg,136802.jpg,136803.jpg,114601.jpg,125801.jpg,130102.jpg,136801.jpg,136805.jpg,147401.jpg
114900.jpg,80.33333333,0.052537447,0.612,136804.jpg,125801.jpg,136802.jpg,130102.jpg,125802.jpg,136805.jpg,136801.jpg,136803.jpg,125703.jpg,148603.jpg
123500.jpg,433,0.289738431,0.594,125801.jpg,136804.jpg,125802.jpg,135002.jpg,136802.jpg,135003.jpg,142001.jpg,130102.jpg,136801.jpg,147402.jpg
125900.jpg,873,0.584842388,0.588,144801.jpg,102801.jpg,144803.jpg,114801.jpg,118001.jpg,119203.jpg,116001.jpg,116101.jpg,100002.jpg,131802.jpg
129000.jpg,220.6666667,0.146657724,0.572,146901.jpg,129002.jpg,128501.jpg,147101.jpg,100501.jpg,149102.jpg,104902.jpg,100001.jpg,104701.jpg,147302.jpg
140400.jpg,424,0.283702213,0.623,136803.jpg,125802.jpg,136805.jpg,136804.jpg,130102.jpg,125801.jpg,148603.jpg,136802.jpg,148602.jpg,136801.jpg
138900.jpg,492.6,0.328370221,0.632,133601.jpg,147402.jpg,147401.jpg,135702.jpg,107501.jpg,148002.jpg,135003.jpg,136804.jpg,135101.jpg,125801.jpg
106600.jpg,277.1666667,0.183545719,0.72,136803.jpg,136804.jpg,100302.jpg,125801.jpg,130102.jpg,136802.jpg,125703.jpg,148603.jpg,125802.jpg,136805.jpg
111000.jpg,213.5,0.142186452,0.58,114601.jpg,136804.jpg,136805.jpg,136803.jpg,125801.jpg,136802.jpg,148603.jpg,102801.jpg,100302.jpg,130102.jpg
124400.jpg,540.5,0.361502347,0.569,136802.jpg,125801.jpg,136804.jpg,135101.jpg,125802.jpg,136801.jpg,130102.jpg,136805.jpg,100301.jpg,148603.jpg
134300.jpg,693,0.464118042,0.573,146801.jpg,136804.jpg,136805.jpg,136803.jpg,136801.jpg,136802.jpg,130102.jpg,125801.jpg,125703.jpg,135002.jpg
135500.jpg,467,0.311871227,0.648,136803.jpg,125801.jpg,136804.jpg,136802.jpg,135101.jpg,125802.jpg,130102.jpg,125703.jpg,136805.jpg,135002.jpg
118100.jpg,208,0.138832998,0.605,142001.jpg,130102.jpg,136802.jpg,136805.jpg,136804.jpg,125801.jpg,125802.jpg,136801.jpg,125703.jpg,134703.jpg
103400.jpg,107,0.071093226,0.608,136804.jpg,125801.jpg,148603.jpg,136802.jpg,130102.jpg,136803.jpg,136801.jpg,136805.jpg,125802.jpg,100302.jpg
128200.jpg,534,0.357478203,0.567,135802.jpg,135801.jpg,135101.jpg,125801.jpg,148603.jpg,136804.jpg,130102.jpg,136901.jpg,135003.jpg,134703.jpg
139800.jpg,422,0.282360832,0.601,125701.jpg,107702.jpg,125702.jpg,119501.jpg,100302.jpg,136804.jpg,125703.jpg,136802.jpg,125801.jpg,136901.jpg
114900.jpg,80.33333333,0.052537447,0.606,136804.jpg,125801.jpg,136802.jpg,130102.jpg,125802.jpg,136805.jpg,136801.jpg,136803.jpg,125703.jpg,148603.jpg
124500.jpg,349,0.233400402,0.579,100301.jpg,117601.jpg,142001.jpg,125801.jpg,136804.jpg,134703.jpg,125802.jpg,130102.jpg,136801.jpg,136802.jpg
117700.jpg,209,0.139503689,0.638,136804.jpg,142001.jpg,136801.jpg,125801.jpg,136802.jpg,136803.jpg,148603.jpg,125802.jpg,100301.jpg,147402.jpg
105500.jpg,551,0.368879946,0.604,136804.jpg,125801.jpg,136802.jpg,136805.jpg,136803.jpg,130102.jpg,125802.jpg,134401.jpg,142001.jpg,148603.jpg
146300.jpg,170.3333333,0.11289962,0.63,136804.jpg,125801.jpg,136802.jpg,130102.jpg,136805.jpg,125802.jpg,136803.jpg,136801.jpg,148603.jpg,147402.jpg
