,filename,rank,rank_n,time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
0,105500.jpg,1.0,0.0,0.675,105501.jpg,143901.jpg,143803.jpg,129201.jpg,148002.jpg,134401.jpg,106701.jpg,143904.jpg,143902.jpg,126601.jpg
0,118400.jpg,7.5,0.004024144869215292,0.385,118401.jpg,140901.jpg,122709.jpg,138802.jpg,139401.jpg,139402.jpg,144704.jpg,140701.jpg,114901.jpg,122704.jpg
0,139300.jpg,71.0,0.04627766599597586,0.535,139301.jpg,137705.jpg,134603.jpg,138701.jpg,122705.jpg,123601.jpg,148101.jpg,122704.jpg,146402.jpg,135802.jpg
0,105900.jpg,2.0,0.0006706908115358819,0.365,104201.jpg,105901.jpg,106401.jpg,143801.jpg,119701.jpg,143902.jpg,143803.jpg,132502.jpg,146701.jpg,123402.jpg
0,117000.jpg,155.0,0.10328638497652581,0.378,103302.jpg,138708.jpg,138010.jpg,132201.jpg,122502.jpg,145101.jpg,138707.jpg,144302.jpg,142201.jpg,110001.jpg
0,123600.jpg,208.5,0.13883299798792756,0.585,132201.jpg,139302.jpg,142201.jpg,100901.jpg,146801.jpg,138004.jpg,124001.jpg,126805.jpg,148602.jpg,126902.jpg
0,135800.jpg,1.5,0.0,0.447,135801.jpg,135802.jpg,119604.jpg,124802.jpg,107001.jpg,135302.jpg,142001.jpg,135002.jpg,102202.jpg,104005.jpg
0,125000.jpg,48.0,0.03152246814218645,0.353,116402.jpg,128401.jpg,146102.jpg,125802.jpg,144401.jpg,114901.jpg,135102.jpg,128501.jpg,125702.jpg,135003.jpg
0,144900.jpg,551.0,0.3682092555331992,0.483,131102.jpg,101301.jpg,131201.jpg,134201.jpg,117302.jpg,147304.jpg,126807.jpg,107702.jpg,143903.jpg,104203.jpg
0,138400.jpg,11.0,0.006706908115358819,0.383,111101.jpg,109802.jpg,112801.jpg,138701.jpg,138705.jpg,123701.jpg,118303.jpg,139601.jpg,142501.jpg,138708.jpg
0,115200.jpg,223.0,0.1488933601609658,0.397,121601.jpg,107001.jpg,106501.jpg,118803.jpg,100502.jpg,122901.jpg,139601.jpg,124802.jpg,115101.jpg,138701.jpg
0,102900.jpg,256.0,0.17102615694164988,0.381,132201.jpg,101404.jpg,123601.jpg,144104.jpg,120703.jpg,129202.jpg,100901.jpg,101401.jpg,139502.jpg,139501.jpg
0,137800.jpg,83.0,0.05466130114017438,0.406,114601.jpg,146801.jpg,100302.jpg,102801.jpg,104802.jpg,107901.jpg,136803.jpg,125801.jpg,136804.jpg,148603.jpg
0,142600.jpg,308.0,0.20590207914151576,0.362,139601.jpg,137704.jpg,114002.jpg,124802.jpg,115602.jpg,144703.jpg,135801.jpg,110702.jpg,141303.jpg,113403.jpg
0,149700.jpg,1.0,0.0,0.35,149701.jpg,126701.jpg,126705.jpg,126702.jpg,132601.jpg,126807.jpg,144104.jpg,139801.jpg,125202.jpg,147304.jpg
0,105300.jpg,5.0,0.0026827632461435278,0.39,104203.jpg,102701.jpg,146102.jpg,107702.jpg,105301.jpg,100801.jpg,126807.jpg,101301.jpg,131601.jpg,106703.jpg
0,107500.jpg,24.0,0.015425888665325285,0.444,136804.jpg,125801.jpg,136802.jpg,136803.jpg,130102.jpg,136801.jpg,125802.jpg,136805.jpg,148603.jpg,147402.jpg
