,filename,rank,rank_n,time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
0,146700.jpg,208.0,0.13883299798792756,0.377,136702.jpg,134701.jpg,102802.jpg,146301.jpg,102801.jpg,117601.jpg,148101.jpg,131805.jpg,130102.jpg,135003.jpg
0,130300.jpg,329.0,0.21931589537223342,0.412,125802.jpg,117601.jpg,136804.jpg,136803.jpg,135002.jpg,126301.jpg,148603.jpg,100301.jpg,100302.jpg,136801.jpg
0,129200.jpg,278.0,0.18544600938967135,0.296,119501.jpg,101702.jpg,102801.jpg,102802.jpg,134605.jpg,147401.jpg,137103.jpg,131802.jpg,136805.jpg,137101.jpg
0,121500.jpg,287.0,0.19181757209926223,0.338,121701.jpg,135701.jpg,135102.jpg,110201.jpg,148101.jpg,102501.jpg,122707.jpg,135103.jpg,119602.jpg,146301.jpg
0,142500.jpg,920.0,0.6160295103957075,0.303,125601.jpg,104005.jpg,146301.jpg,134603.jpg,144901.jpg,133601.jpg,148101.jpg,118001.jpg,117403.jpg,102802.jpg
0,102800.jpg,2.5,0.0006706908115358819,0.322,100302.jpg,102801.jpg,102802.jpg,136804.jpg,125801.jpg,147401.jpg,136801.jpg,136802.jpg,136803.jpg,125802.jpg
0,124100.jpg,417.0,0.2790073775989269,0.326,142001.jpg,125801.jpg,125802.jpg,136805.jpg,144701.jpg,130102.jpg,136804.jpg,136802.jpg,136801.jpg,100302.jpg
0,107800.jpg,233.0,0.15560026827632462,0.394,125801.jpg,125802.jpg,135701.jpg,136803.jpg,100302.jpg,136802.jpg,147402.jpg,136804.jpg,135702.jpg,130102.jpg
0,118100.jpg,205.0,0.13682092555331993,0.334,142001.jpg,134703.jpg,125703.jpg,130102.jpg,134401.jpg,136805.jpg,147501.jpg,136804.jpg,136801.jpg,136802.jpg
0,144900.jpg,115.66666666666667,0.07623518891124526,0.419,104802.jpg,133202.jpg,105102.jpg,143903.jpg,128401.jpg,119501.jpg,118601.jpg,146102.jpg,131201.jpg,103801.jpg
0,132400.jpg,218.0,0.14520456069751844,0.359,136804.jpg,125801.jpg,130102.jpg,125802.jpg,136803.jpg,136802.jpg,136805.jpg,136801.jpg,148603.jpg,125703.jpg
0,149300.jpg,878.5,0.5881958417169685,0.293,135703.jpg,105301.jpg,113001.jpg,148101.jpg,100302.jpg,144903.jpg,135102.jpg,144802.jpg,133401.jpg,135002.jpg
0,137700.jpg,601.6,0.40147551978537893,0.373,144701.jpg,108401.jpg,114901.jpg,112301.jpg,110201.jpg,142001.jpg,125702.jpg,108202.jpg,125701.jpg,138012.jpg
0,143500.jpg,248.0,0.16566063044936283,0.311,126601.jpg,102801.jpg,118601.jpg,126901.jpg,136805.jpg,102802.jpg,119501.jpg,131802.jpg,107501.jpg,100302.jpg
0,135800.jpg,1.5,0.0,0.401,135801.jpg,135802.jpg,142001.jpg,135002.jpg,125801.jpg,147402.jpg,136804.jpg,136801.jpg,135104.jpg,136802.jpg
0,131200.jpg,181.0,0.12072434607645875,0.313,100801.jpg,107701.jpg,131601.jpg,107702.jpg,119501.jpg,106703.jpg,146102.jpg,127901.jpg,133202.jpg,103801.jpg
0,135100.jpg,39.5,0.02481556002682763,0.381,136804.jpg,125801.jpg,136802.jpg,136801.jpg,148603.jpg,130102.jpg,125802.jpg,147402.jpg,135002.jpg,136805.jpg
0,130600.jpg,251.0,0.1676727028839705,0.297,129601.jpg,126802.jpg,130001.jpg,116101.jpg,133201.jpg,144801.jpg,103502.jpg,123403.jpg,100502.jpg,123401.jpg
0,106600.jpg,277.1666666666667,0.1835457187569864,0.386,100302.jpg,136803.jpg,114601.jpg,125801.jpg,136804.jpg,125703.jpg,136802.jpg,102801.jpg,130102.jpg,102802.jpg
0,138300.jpg,700.4444444444445,0.46642819882256503,0.364,144901.jpg,144903.jpg,144802.jpg,125802.jpg,135002.jpg,136805.jpg,136901.jpg,142001.jpg,147401.jpg,100301.jpg
0,131100.jpg,735.5,0.4922870556673373,0.488,130001.jpg,103502.jpg,116703.jpg,129601.jpg,119901.jpg,116101.jpg,118003.jpg,106501.jpg,135601.jpg,103801.jpg
0,100700.jpg,280.0,0.18712273641851107,0.665,119203.jpg,131802.jpg,114601.jpg,102801.jpg,134703.jpg,135001.jpg,102802.jpg,134702.jpg,135102.jpg,144804.jpg
0,141500.jpg,438.0,0.2930918846411804,0.647,118501.jpg,146301.jpg,134801.jpg,134605.jpg,135103.jpg,102501.jpg,137101.jpg,114902.jpg,135702.jpg,135002.jpg
0,130500.jpg,572.0,0.3829644533869886,0.323,136803.jpg,125703.jpg,125801.jpg,136802.jpg,148603.jpg,136804.jpg,136805.jpg,109501.jpg,130102.jpg,125802.jpg
0,100500.jpg,52.333333333333336,0.033758104180639396,0.418,129001.jpg,126201.jpg,147101.jpg,147303.jpg,107301.jpg,147602.jpg,104701.jpg,111702.jpg,111701.jpg,129602.jpg
0,112300.jpg,125.5,0.08316566063044936,0.337,136804.jpg,125801.jpg,136801.jpg,136802.jpg,130102.jpg,125802.jpg,125703.jpg,148603.jpg,142001.jpg,136805.jpg
0,136300.jpg,784.0,0.5251509054325956,0.707,135103.jpg,146301.jpg,135601.jpg,135102.jpg,134702.jpg,112101.jpg,134701.jpg,135002.jpg,148301.jpg,140601.jpg
0,119200.jpg,293.0,0.19517102615694165,0.597,102801.jpg,136805.jpg,102802.jpg,125703.jpg,136802.jpg,125801.jpg,147401.jpg,107501.jpg,134703.jpg,136804.jpg
0,136900.jpg,266.3333333333333,0.17728593784931815,0.389,136901.jpg,136804.jpg,125801.jpg,136805.jpg,130102.jpg,136802.jpg,136801.jpg,125802.jpg,136803.jpg,135002.jpg
0,106800.jpg,475.0,0.317907444668008,0.343,107701.jpg,146102.jpg,119501.jpg,114801.jpg,130901.jpg,102802.jpg,102801.jpg,100301.jpg,118201.jpg,107501.jpg
0,124100.jpg,417.0,0.2790073775989269,0.308,142001.jpg,125801.jpg,125802.jpg,136805.jpg,144701.jpg,130102.jpg,136804.jpg,136802.jpg,136801.jpg,100302.jpg
0,129300.jpg,721.0,0.482897384305835,0.281,115301.jpg,147304.jpg,104802.jpg,144801.jpg,105301.jpg,113201.jpg,139801.jpg,141703.jpg,116001.jpg,110001.jpg
0,138800.jpg,91.66666666666667,0.06013860943438409,0.33,138802.jpg,138803.jpg,135003.jpg,114901.jpg,125802.jpg,142001.jpg,125801.jpg,136802.jpg,148603.jpg,130102.jpg
0,104600.jpg,403.0,0.26961770623742454,0.321,129001.jpg,147101.jpg,104701.jpg,126201.jpg,111701.jpg,107301.jpg,146901.jpg,129602.jpg,149102.jpg,148203.jpg
0,129700.jpg,638.0,0.4272300469483568,0.367,134604.jpg,125703.jpg,125802.jpg,146502.jpg,135101.jpg,135003.jpg,125801.jpg,130102.jpg,136805.jpg,136804.jpg
0,128600.jpg,1.0,0.0,0.353,128601.jpg,148202.jpg,135702.jpg,100201.jpg,139701.jpg,146501.jpg,144701.jpg,139302.jpg,147701.jpg,139303.jpg
0,126600.jpg,240.0,0.16029510395707577,0.319,125703.jpg,130102.jpg,136804.jpg,125801.jpg,147402.jpg,136801.jpg,148603.jpg,136802.jpg,136803.jpg,136805.jpg
0,121200.jpg,830.0,0.5560026827632462,0.327,138001.jpg,148101.jpg,118003.jpg,146801.jpg,144804.jpg,112602.jpg,101702.jpg,114601.jpg,148602.jpg,147401.jpg
0,112000.jpg,308.3333333333333,0.20545495193382518,0.29,119901.jpg,116101.jpg,144801.jpg,105102.jpg,148501.jpg,100002.jpg,144803.jpg,112001.jpg,118001.jpg,116703.jpg
0,126200.jpg,138.0,0.09154929577464789,0.314,126201.jpg,129001.jpg,147303.jpg,147302.jpg,111702.jpg,135901.jpg,147101.jpg,149102.jpg,111701.jpg,147602.jpg
0,120300.jpg,1.0,0.0,0.335,120301.jpg,104901.jpg,105104.jpg,109601.jpg,147301.jpg,104902.jpg,136004.jpg,134502.jpg,120201.jpg,136006.jpg
0,144900.jpg,115.66666666666667,0.07623518891124526,0.404,104802.jpg,133202.jpg,105102.jpg,143903.jpg,128401.jpg,119501.jpg,118601.jpg,146102.jpg,131201.jpg,103801.jpg
0,120700.jpg,418.6666666666667,0.2794545048066175,0.319,134603.jpg,134604.jpg,107401.jpg,108202.jpg,126901.jpg,125703.jpg,146801.jpg,132402.jpg,136804.jpg,136803.jpg
