filename,rank,rank_n,time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
100000.jpg,772,0.51676727,1.693,136902.jpg,147701.jpg,126102.jpg,132902.jpg,148301.jpg,126101.jpg,114902.jpg,146601.jpg,100302.jpg,146602.jpg
100100.jpg,497,0.332662643,1.705,140601.jpg,136801.jpg,103101.jpg,103901.jpg,103102.jpg,103902.jpg,103401.jpg,121701.jpg,138002.jpg,144903.jpg
100200.jpg,40,0.026156942,1.79,136804.jpg,136802.jpg,137101.jpg,136805.jpg,137102.jpg,112101.jpg,137103.jpg,138004.jpg,136803.jpg,145502.jpg
100300.jpg,4,0.001676727,1.796,136802.jpg,100301.jpg,136804.jpg,145502.jpg,146701.jpg,100302.jpg,125601.jpg,112101.jpg,137101.jpg,136805.jpg
100400.jpg,934,0.625754527,1.815,136802.jpg,136804.jpg,145502.jpg,100301.jpg,112101.jpg,136805.jpg,137101.jpg,147402.jpg,112201.jpg,146701.jpg
100500.jpg,790,0.528504359,1.735,136902.jpg,147701.jpg,126102.jpg,132902.jpg,114902.jpg,148301.jpg,126101.jpg,146502.jpg,142001.jpg,136903.jpg
100600.jpg,108,0.071763917,1.784,140601.jpg,136801.jpg,138002.jpg,103101.jpg,103901.jpg,121701.jpg,103102.jpg,103902.jpg,123205.jpg,110201.jpg
100700.jpg,784,0.525150905,1.852,144802.jpg,146502.jpg,148701.jpg,100301.jpg,147402.jpg,145502.jpg,147701.jpg,134403.jpg,147401.jpg,100302.jpg
100800.jpg,706,0.472837022,1.697,146701.jpg,138004.jpg,136805.jpg,136804.jpg,136802.jpg,138005.jpg,146801.jpg,137101.jpg,136803.jpg,145502.jpg
100900.jpg,711,0.475855131,1.627,100301.jpg,100302.jpg,146502.jpg,147402.jpg,147701.jpg,147401.jpg,136903.jpg,133702.jpg,136802.jpg,146601.jpg
101000.jpg,952,0.637826962,1.698,114903.jpg,147701.jpg,147401.jpg,136903.jpg,144704.jpg,136002.jpg,144702.jpg,146502.jpg,114901.jpg,147402.jpg
101100.jpg,808,0.541247485,1.709,144802.jpg,147401.jpg,147402.jpg,140601.jpg,100301.jpg,139901.jpg,145502.jpg,136802.jpg,134402.jpg,112201.jpg
101200.jpg,40,0.026156942,1.632,103102.jpg,103902.jpg,104005.jpg,103101.jpg,103901.jpg,104006.jpg,104002.jpg,104001.jpg,104004.jpg,136801.jpg
101300.jpg,565,0.378269618,1.633,146701.jpg,136802.jpg,100301.jpg,147401.jpg,136804.jpg,136805.jpg,130001.jpg,112201.jpg,137101.jpg,138005.jpg
101400.jpg,544.5,0.36351442,1.648,137101.jpg,146003.jpg,146102.jpg,136802.jpg,146001.jpg,136901.jpg,138005.jpg,146701.jpg,146601.jpg,146002.jpg
101500.jpg,623,0.416163649,1.596,146102.jpg,138005.jpg,138002.jpg,146003.jpg,146701.jpg,136804.jpg,146001.jpg,138004.jpg,146002.jpg,138010.jpg
101600.jpg,79,0.052313883,1.605,146801.jpg,138004.jpg,136805.jpg,146102.jpg,146701.jpg,136804.jpg,138005.jpg,119401.jpg,146003.jpg,137101.jpg
101700.jpg,1.5,0,1.69,101702.jpg,101701.jpg,138001.jpg,136101.jpg,136803.jpg,103702.jpg,107401.jpg,135401.jpg,146801.jpg,138010.jpg
101800.jpg,721,0.482897384,1.705,140601.jpg,143301.jpg,103101.jpg,103901.jpg,144903.jpg,136801.jpg,103102.jpg,103902.jpg,136802.jpg,134403.jpg
101900.jpg,269,0.179745137,1.652,103102.jpg,103902.jpg,103101.jpg,103901.jpg,136801.jpg,103401.jpg,104101.jpg,104006.jpg,104005.jpg,104002.jpg
102000.jpg,335,0.224010731,1.603,138001.jpg,138010.jpg,138007.jpg,136803.jpg,101702.jpg,138002.jpg,136101.jpg,101701.jpg,103401.jpg,107401.jpg
102100.jpg,37,0.024144869,1.647,136803.jpg,138009.jpg,138001.jpg,136101.jpg,138010.jpg,103401.jpg,101702.jpg,146801.jpg,107401.jpg,138003.jpg
102200.jpg,378.5,0.252850436,1.676,130001.jpg,146801.jpg,123403.jpg,136805.jpg,102402.jpg,136804.jpg,138003.jpg,136803.jpg,140902.jpg,136101.jpg
102300.jpg,341,0.227364185,1.881,140601.jpg,136801.jpg,135701.jpg,147402.jpg,144903.jpg,103101.jpg,103901.jpg,134403.jpg,144802.jpg,103102.jpg
102400.jpg,170.5,0.113346747,1.701,114901.jpg,134403.jpg,135701.jpg,149101.jpg,134402.jpg,119605.jpg,144902.jpg,146502.jpg,147402.jpg,114903.jpg
102500.jpg,9,0.005365526,1.66,136801.jpg,103102.jpg,103902.jpg,135104.jpg,140601.jpg,103101.jpg,103901.jpg,121701.jpg,102501.jpg,147402.jpg
102600.jpg,76,0.050301811,1.744,136802.jpg,136804.jpg,146102.jpg,146701.jpg,136805.jpg,138005.jpg,145502.jpg,138004.jpg,146003.jpg,137101.jpg
102700.jpg,321,0.21462106,1.596,140601.jpg,143301.jpg,149101.jpg,136801.jpg,144903.jpg,103101.jpg,103901.jpg,103102.jpg,103902.jpg,144802.jpg
102800.jpg,679,0.454393025,1.565,138004.jpg,138005.jpg,146701.jpg,138012.jpg,136802.jpg,136804.jpg,146003.jpg,146102.jpg,145502.jpg,146502.jpg
102900.jpg,643,0.430583501,1.608,138004.jpg,136802.jpg,136804.jpg,137101.jpg,138005.jpg,136901.jpg,137102.jpg,138012.jpg,146701.jpg,146003.jpg
103000.jpg,551,0.368544601,1.558,100301.jpg,100302.jpg,146601.jpg,146502.jpg,136901.jpg,147701.jpg,147401.jpg,148301.jpg,109501.jpg,138012.jpg
103100.jpg,2,0.000335345,1.632,103101.jpg,103901.jpg,103102.jpg,103902.jpg,103401.jpg,136801.jpg,140601.jpg,104006.jpg,104005.jpg,104101.jpg
103200.jpg,812,0.542924212,1.675,136803.jpg,140601.jpg,146801.jpg,136805.jpg,103401.jpg,136101.jpg,101702.jpg,138010.jpg,138001.jpg,103101.jpg
103300.jpg,349,0.232394366,1.742,136804.jpg,137101.jpg,136802.jpg,137102.jpg,137103.jpg,136805.jpg,138201.jpg,138004.jpg,106401.jpg,136002.jpg
103400.jpg,6,0.003353454,1.608,103102.jpg,103902.jpg,103101.jpg,103901.jpg,136801.jpg,103401.jpg,140601.jpg,136803.jpg,104101.jpg,118101.jpg
103500.jpg,7.333333333,0.003577018,1.551,103101.jpg,103901.jpg,103102.jpg,103902.jpg,103401.jpg,103501.jpg,103502.jpg,140601.jpg,103503.jpg,104006.jpg
103600.jpg,85,0.056338028,1.657,103101.jpg,103901.jpg,103401.jpg,140601.jpg,103102.jpg,103902.jpg,103503.jpg,104006.jpg,103501.jpg,103502.jpg
103700.jpg,107,0.070757881,1.703,103102.jpg,103902.jpg,136801.jpg,103101.jpg,103901.jpg,104006.jpg,145402.jpg,104001.jpg,104002.jpg,104005.jpg
103800.jpg,230,0.153588196,1.633,103102.jpg,103902.jpg,136801.jpg,103101.jpg,103901.jpg,104101.jpg,140601.jpg,104006.jpg,103401.jpg,104005.jpg
103900.jpg,3,0.001006036,1.679,103101.jpg,103901.jpg,103102.jpg,103902.jpg,103401.jpg,136801.jpg,140601.jpg,104006.jpg,104005.jpg,104101.jpg
104000.jpg,3.5,0,1.816,104001.jpg,104002.jpg,104006.jpg,104005.jpg,104004.jpg,104003.jpg,136801.jpg,103102.jpg,103902.jpg,103101.jpg
104100.jpg,1,0,1.747,104101.jpg,136801.jpg,103102.jpg,103902.jpg,104006.jpg,103101.jpg,103901.jpg,104005.jpg,104002.jpg,104001.jpg
104200.jpg,154.3333333,0.102168567,1.597,106401.jpg,137101.jpg,138004.jpg,137102.jpg,119401.jpg,137103.jpg,136802.jpg,146801.jpg,136804.jpg,125201.jpg
104300.jpg,965,0.646545942,1.533,136902.jpg,146602.jpg,126102.jpg,136901.jpg,147701.jpg,143301.jpg,100302.jpg,146601.jpg,138012.jpg,144702.jpg
104400.jpg,862.5,0.577464789,1.557,136902.jpg,136002.jpg,126102.jpg,144702.jpg,147701.jpg,114901.jpg,148301.jpg,126101.jpg,116601.jpg,146602.jpg
104500.jpg,502.5,0.336016097,1.581,147402.jpg,136802.jpg,136804.jpg,112201.jpg,134401.jpg,146502.jpg,100301.jpg,147401.jpg,138012.jpg,146003.jpg
104600.jpg,819,0.548625084,1.502,136902.jpg,126102.jpg,147701.jpg,132902.jpg,148301.jpg,114902.jpg,146502.jpg,126101.jpg,138012.jpg,136903.jpg
104700.jpg,968,0.648558015,1.639,146102.jpg,136804.jpg,138004.jpg,146701.jpg,136802.jpg,136805.jpg,138005.jpg,146003.jpg,146801.jpg,137101.jpg
104800.jpg,733.5,0.490945674,1.647,114902.jpg,147701.jpg,146502.jpg,138012.jpg,126102.jpg,146003.jpg,146601.jpg,138005.jpg,138004.jpg,148301.jpg
104900.jpg,899.5,0.602280349,1.623,136902.jpg,132902.jpg,147701.jpg,148301.jpg,144702.jpg,138012.jpg,146502.jpg,136903.jpg,132901.jpg,148002.jpg
105000.jpg,555,0.371227364,1.593,114902.jpg,146502.jpg,146003.jpg,136707.jpg,146001.jpg,138005.jpg,148701.jpg,138012.jpg,138004.jpg,128502.jpg
105100.jpg,461.25,0.30767941,1.674,136804.jpg,146102.jpg,136805.jpg,136802.jpg,146701.jpg,138005.jpg,136803.jpg,118101.jpg,140601.jpg,138004.jpg
105200.jpg,943,0.631790744,1.645,136804.jpg,136802.jpg,136805.jpg,136803.jpg,146801.jpg,138201.jpg,146102.jpg,140902.jpg,137101.jpg,146701.jpg
105300.jpg,67,0.044265594,1.583,146102.jpg,146701.jpg,136804.jpg,136805.jpg,138004.jpg,138005.jpg,146003.jpg,136803.jpg,146801.jpg,136802.jpg
105400.jpg,177,0.118041583,1.553,136802.jpg,136804.jpg,136805.jpg,136803.jpg,146801.jpg,137101.jpg,146102.jpg,140601.jpg,147402.jpg,146701.jpg
105500.jpg,107,0.071093226,1.678,147402.jpg,136802.jpg,112201.jpg,147401.jpg,144802.jpg,112101.jpg,136804.jpg,109501.jpg,146502.jpg,100301.jpg
105600.jpg,78,0.051643192,1.639,147401.jpg,147402.jpg,134401.jpg,144802.jpg,100301.jpg,146502.jpg,109501.jpg,127101.jpg,100302.jpg,134402.jpg
105700.jpg,250,0.167002012,1.652,136803.jpg,140601.jpg,136805.jpg,103101.jpg,103901.jpg,140902.jpg,136801.jpg,103401.jpg,103102.jpg,103902.jpg
105800.jpg,157.5,0.104627767,1.642,121701.jpg,114901.jpg,148701.jpg,146502.jpg,149101.jpg,144702.jpg,119602.jpg,144902.jpg,140901.jpg,119601.jpg
105900.jpg,287,0.191817572,1.64,136804.jpg,136805.jpg,136803.jpg,136802.jpg,140601.jpg,138201.jpg,137101.jpg,137102.jpg,138005.jpg,147402.jpg
106000.jpg,732.5,0.490274983,1.747,136804.jpg,136802.jpg,136805.jpg,138005.jpg,136803.jpg,146102.jpg,138002.jpg,146801.jpg,137101.jpg,125201.jpg
106100.jpg,5,0.002682763,1.661,138001.jpg,146102.jpg,146801.jpg,104203.jpg,106101.jpg,136803.jpg,136805.jpg,104202.jpg,140902.jpg,130801.jpg
106200.jpg,90.5,0.059691482,1.594,103101.jpg,103901.jpg,103102.jpg,103902.jpg,140601.jpg,103401.jpg,136803.jpg,136801.jpg,138002.jpg,103503.jpg
106300.jpg,951,0.637156271,1.682,146502.jpg,138004.jpg,125201.jpg,137101.jpg,138005.jpg,136802.jpg,138012.jpg,146601.jpg,146003.jpg,136901.jpg
106400.jpg,542,0.362173038,1.685,106401.jpg,136803.jpg,123801.jpg,106101.jpg,140601.jpg,136805.jpg,138001.jpg,138201.jpg,146801.jpg,138002.jpg
106500.jpg,20,0.012743125,1.685,140601.jpg,134403.jpg,144903.jpg,103401.jpg,103101.jpg,103901.jpg,119605.jpg,144802.jpg,135701.jpg,145502.jpg
106600.jpg,430.5,0.286384977,1.598,136804.jpg,136802.jpg,136803.jpg,136805.jpg,146102.jpg,140601.jpg,137101.jpg,138005.jpg,146801.jpg,146701.jpg
