filename,rank,rank_n,time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
131600.jpg,805.3333333,0.538788285,1.525,146003.jpg,138004.jpg,138005.jpg,146102.jpg,147701.jpg,146001.jpg,146002.jpg,146502.jpg,146701.jpg,148301.jpg
125000.jpg,134,0.089201878,1.544,146502.jpg,114902.jpg,147701.jpg,148701.jpg,136002.jpg,148301.jpg,136707.jpg,138012.jpg,102601.jpg,128502.jpg
132800.jpg,589,0.394366197,1.572,147701.jpg,146502.jpg,114902.jpg,132902.jpg,146601.jpg,136903.jpg,148701.jpg,100302.jpg,148301.jpg,138012.jpg
110000.jpg,305,0.203890007,1.622,136802.jpg,147402.jpg,136804.jpg,146502.jpg,137101.jpg,136707.jpg,136703.jpg,138012.jpg,136901.jpg,100301.jpg
119200.jpg,503,0.336016097,1.554,147701.jpg,148301.jpg,138012.jpg,146502.jpg,114901.jpg,100301.jpg,114902.jpg,100302.jpg,126101.jpg,143301.jpg
138800.jpg,172.3333333,0.114241002,1.588,147701.jpg,146502.jpg,144702.jpg,100302.jpg,148002.jpg,135802.jpg,135801.jpg,136903.jpg,132902.jpg,100301.jpg
129800.jpg,36.5,0.023474178,1.575,133802.jpg,138001.jpg,130801.jpg,103701.jpg,135401.jpg,103702.jpg,101702.jpg,101701.jpg,138009.jpg,136101.jpg
120200.jpg,867,0.580818243,1.708,114903.jpg,143301.jpg,144903.jpg,147402.jpg,138012.jpg,112201.jpg,134403.jpg,112101.jpg,144802.jpg,134401.jpg
110600.jpg,684,0.458081824,1.613,140601.jpg,144802.jpg,147402.jpg,146502.jpg,147401.jpg,100301.jpg,136802.jpg,119605.jpg,121701.jpg,134403.jpg
126300.jpg,603,0.403755869,1.545,147701.jpg,146502.jpg,114902.jpg,148301.jpg,136903.jpg,100302.jpg,126102.jpg,144702.jpg,136002.jpg,126101.jpg
131800.jpg,367,0.244131455,1.601,147402.jpg,114903.jpg,144903.jpg,144902.jpg,146502.jpg,144802.jpg,114901.jpg,147401.jpg,138012.jpg,112201.jpg
126800.jpg,597.625,0.397803488,1.561,136901.jpg,100302.jpg,100301.jpg,136802.jpg,147701.jpg,137101.jpg,146601.jpg,145502.jpg,146003.jpg,148301.jpg
139800.jpg,394,0.263581489,1.529,144802.jpg,100301.jpg,140601.jpg,144903.jpg,145502.jpg,146701.jpg,136802.jpg,112201.jpg,119605.jpg,147401.jpg
116200.jpg,111,0.073775989,1.641,146502.jpg,148701.jpg,134403.jpg,114903.jpg,147402.jpg,114901.jpg,134401.jpg,144802.jpg,109501.jpg,102601.jpg
144100.jpg,805.75,0.538732394,1.548,146102.jpg,146701.jpg,146003.jpg,138005.jpg,138004.jpg,136804.jpg,136805.jpg,146002.jpg,146801.jpg,136803.jpg
149000.jpg,76.5,0.050301811,1.634,138012.jpg,112101.jpg,110201.jpg,146502.jpg,112201.jpg,144903.jpg,134401.jpg,136703.jpg,144802.jpg,147402.jpg
102700.jpg,321,0.21462106,1.697,140601.jpg,143301.jpg,149101.jpg,136801.jpg,144903.jpg,103101.jpg,103901.jpg,103102.jpg,103902.jpg,144802.jpg
146400.jpg,343.4,0.228303152,1.62,146003.jpg,138005.jpg,138004.jpg,146102.jpg,146001.jpg,138012.jpg,136804.jpg,114902.jpg,136802.jpg,146502.jpg
116300.jpg,121,0.080482897,1.605,140601.jpg,110201.jpg,143301.jpg,119605.jpg,144903.jpg,134403.jpg,136802.jpg,119603.jpg,138012.jpg,145502.jpg
126200.jpg,726.5,0.486250838,1.513,136902.jpg,126102.jpg,147701.jpg,138004.jpg,148301.jpg,132902.jpg,126101.jpg,142101.jpg,146601.jpg,138012.jpg
112800.jpg,930,0.623071764,1.516,146502.jpg,147701.jpg,136002.jpg,126102.jpg,148701.jpg,114901.jpg,128502.jpg,114902.jpg,121701.jpg,119602.jpg
143900.jpg,663.25,0.443158954,1.44,137101.jpg,136802.jpg,138004.jpg,137102.jpg,136804.jpg,136901.jpg,146601.jpg,100301.jpg,146502.jpg,137103.jpg
104300.jpg,965,0.646545942,1.56,136902.jpg,146602.jpg,126102.jpg,136901.jpg,147701.jpg,143301.jpg,100302.jpg,146601.jpg,138012.jpg,144702.jpg
143900.jpg,663.25,0.443158954,1.49,137101.jpg,136802.jpg,138004.jpg,137102.jpg,136804.jpg,136901.jpg,146601.jpg,100301.jpg,146502.jpg,137103.jpg
110100.jpg,6,0.003353454,1.596,103102.jpg,103902.jpg,103101.jpg,103901.jpg,136801.jpg,110101.jpg,145402.jpg,145401.jpg,140601.jpg,104006.jpg
