,filename,rank,rank_n,time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
0,138000.jpg,95.5,0.059691482226693494,1.419,138004.jpg,136802.jpg,146801.jpg,136804.jpg,137101.jpg,138005.jpg,136805.jpg,137102.jpg,145502.jpg,138003.jpg
0,140800.jpg,692.6666666666666,0.46322378716744916,1.337,136805.jpg,136804.jpg,146801.jpg,136802.jpg,136803.jpg,140902.jpg,130001.jpg,138003.jpg,146701.jpg,137004.jpg
0,108000.jpg,860.0,0.5761234071093226,1.293,136802.jpg,137101.jpg,136901.jpg,100301.jpg,100302.jpg,136703.jpg,137102.jpg,136804.jpg,136707.jpg,148301.jpg
0,107200.jpg,204.33333333333334,0.13570310753409345,1.534,103101.jpg,103901.jpg,103102.jpg,103902.jpg,140601.jpg,104101.jpg,104005.jpg,136801.jpg,103401.jpg,104006.jpg
0,138200.jpg,97.33333333333333,0.06393919069975408,1.447,136801.jpg,103101.jpg,103901.jpg,145402.jpg,103102.jpg,103902.jpg,104005.jpg,140601.jpg,138008.jpg,104002.jpg
0,114700.jpg,676.6666666666666,0.45249273418287506,1.412,146502.jpg,138012.jpg,143301.jpg,148003.jpg,136902.jpg,144802.jpg,134403.jpg,119605.jpg,114901.jpg,144702.jpg
0,124500.jpg,154.0,0.10261569416498993,1.526,144802.jpg,100301.jpg,147401.jpg,146502.jpg,147402.jpg,134401.jpg,114903.jpg,134403.jpg,100302.jpg,136703.jpg
0,135400.jpg,29.0,0.018443997317236754,1.577,140601.jpg,103101.jpg,103901.jpg,103102.jpg,103902.jpg,103401.jpg,136803.jpg,135402.jpg,138002.jpg,136801.jpg
0,112500.jpg,357.0,0.23876592890677398,1.502,136804.jpg,136802.jpg,125201.jpg,136805.jpg,137101.jpg,138005.jpg,137102.jpg,138004.jpg,106401.jpg,146003.jpg
0,133000.jpg,701.6666666666666,0.4692600044712721,1.588,146001.jpg,140601.jpg,146003.jpg,138005.jpg,147402.jpg,138002.jpg,146002.jpg,121701.jpg,144802.jpg,144903.jpg
0,129200.jpg,193.0,0.12843729040912139,1.303,138001.jpg,136803.jpg,123801.jpg,106401.jpg,136805.jpg,146801.jpg,106101.jpg,138010.jpg,140902.jpg,135401.jpg
0,106800.jpg,28.0,0.018108651911468814,1.337,101901.jpg,138001.jpg,106903.jpg,136803.jpg,138007.jpg,110801.jpg,101702.jpg,103401.jpg,130201.jpg,133703.jpg
0,123800.jpg,5.0,0.0026827632461435278,1.403,136803.jpg,138201.jpg,136805.jpg,136804.jpg,123801.jpg,136802.jpg,146801.jpg,140601.jpg,138002.jpg,140902.jpg
0,103800.jpg,220.0,0.14688128772635814,1.389,103102.jpg,103902.jpg,136801.jpg,103101.jpg,103901.jpg,104101.jpg,140601.jpg,104006.jpg,104005.jpg,104002.jpg
0,103100.jpg,2.0,0.00033534540576794097,1.492,103101.jpg,103901.jpg,103102.jpg,103902.jpg,103401.jpg,140601.jpg,136801.jpg,136803.jpg,104006.jpg,104005.jpg
0,119900.jpg,283.0,0.1891348088531187,1.446,136802.jpg,136804.jpg,100301.jpg,112101.jpg,145502.jpg,134403.jpg,137101.jpg,147402.jpg,119605.jpg,147401.jpg
0,101000.jpg,972.0,0.6512407780013414,1.526,114903.jpg,136802.jpg,147401.jpg,147701.jpg,136903.jpg,147402.jpg,144704.jpg,100301.jpg,136901.jpg,136804.jpg
0,127300.jpg,877.0,0.5875251509054326,1.296,147701.jpg,109501.jpg,100301.jpg,146502.jpg,100302.jpg,138012.jpg,136903.jpg,148301.jpg,114903.jpg,114902.jpg
0,128700.jpg,495.0,0.33132126089872566,1.375,136802.jpg,146102.jpg,146701.jpg,144802.jpg,136804.jpg,112101.jpg,144903.jpg,119603.jpg,140601.jpg,118101.jpg
0,126400.jpg,758.0,0.5073775989268947,1.392,100301.jpg,148003.jpg,100302.jpg,136703.jpg,137101.jpg,144802.jpg,146003.jpg,148701.jpg,146001.jpg,136802.jpg
0,144200.jpg,646.0,0.43259557344064387,1.29,146502.jpg,147701.jpg,114903.jpg,114901.jpg,109501.jpg,148301.jpg,100301.jpg,144702.jpg,147401.jpg,148002.jpg
0,108700.jpg,786.0,0.5264922870556673,1.321,146003.jpg,138004.jpg,136802.jpg,138005.jpg,136707.jpg,146102.jpg,146502.jpg,136804.jpg,138012.jpg,149001.jpg
0,111400.jpg,978.0,0.6552649228705567,1.436,136802.jpg,136804.jpg,112101.jpg,145502.jpg,100301.jpg,146601.jpg,100302.jpg,148301.jpg,147701.jpg,137101.jpg
0,101900.jpg,47.0,0.03085177733065057,1.504,103101.jpg,103901.jpg,103102.jpg,103902.jpg,136801.jpg,103401.jpg,140601.jpg,104101.jpg,104005.jpg,104006.jpg
0,100900.jpg,843.0,0.5643863179074446,1.596,100301.jpg,100302.jpg,136802.jpg,147402.jpg,146502.jpg,147401.jpg,109501.jpg,147701.jpg,112201.jpg,137101.jpg
0,121400.jpg,725.25,0.4847417840375587,1.492,110201.jpg,109301.jpg,143301.jpg,144702.jpg,146602.jpg,148301.jpg,100301.jpg,146601.jpg,116601.jpg,148202.jpg
0,147800.jpg,948.5,0.6351441985244802,1.439,109501.jpg,138012.jpg,100301.jpg,147701.jpg,148301.jpg,146502.jpg,117601.jpg,114903.jpg,144903.jpg,114901.jpg
0,111900.jpg,216.0,0.1441985244802146,1.553,146502.jpg,114902.jpg,148701.jpg,136707.jpg,147701.jpg,148301.jpg,134403.jpg,112101.jpg,114901.jpg,144802.jpg
0,138000.jpg,95.5,0.059691482226693494,1.446,138004.jpg,136802.jpg,146801.jpg,136804.jpg,137101.jpg,138005.jpg,136805.jpg,137102.jpg,145502.jpg,138003.jpg
0,138400.jpg,130.0,0.08651911468812877,1.432,140601.jpg,121701.jpg,144903.jpg,146502.jpg,144802.jpg,119605.jpg,136802.jpg,144902.jpg,136804.jpg,147402.jpg
0,123300.jpg,408.0,0.27297116029510393,1.428,146502.jpg,140601.jpg,112101.jpg,148701.jpg,147402.jpg,144802.jpg,114903.jpg,138005.jpg,144903.jpg,121701.jpg
0,128700.jpg,495.0,0.33132126089872566,1.294,136802.jpg,146102.jpg,146701.jpg,144802.jpg,136804.jpg,112101.jpg,144903.jpg,119603.jpg,140601.jpg,118101.jpg
0,103300.jpg,402.5,0.2682763246143528,1.454,136804.jpg,136802.jpg,137101.jpg,137102.jpg,137103.jpg,136805.jpg,138201.jpg,138004.jpg,138012.jpg,106401.jpg
0,144900.jpg,53.333333333333336,0.03442879499217528,1.454,136802.jpg,136804.jpg,146701.jpg,138004.jpg,138005.jpg,146102.jpg,145502.jpg,146003.jpg,100301.jpg,136805.jpg
