filename,rank,rank_n,time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
139300.jpg,505,0.337357478,1.685,146502.jpg,114903.jpg,144702.jpg,114901.jpg,147401.jpg,144802.jpg,147402.jpg,134401.jpg,127101.jpg,100301.jpg
134400.jpg,12,0.006706908,1.508,135701.jpg,135702.jpg,147402.jpg,121701.jpg,136801.jpg,118101.jpg,140601.jpg,135104.jpg,134403.jpg,134401.jpg
110100.jpg,15,0.009389671,1.503,103102.jpg,103902.jpg,145402.jpg,136801.jpg,103101.jpg,103901.jpg,145401.jpg,104005.jpg,104006.jpg,104001.jpg
116000.jpg,216,0.143863179,1.501,140601.jpg,144903.jpg,134403.jpg,143301.jpg,135701.jpg,103101.jpg,103901.jpg,136801.jpg,103401.jpg,149101.jpg
125800.jpg,797,0.533534541,1.562,114901.jpg,146502.jpg,114903.jpg,147402.jpg,134401.jpg,147401.jpg,134403.jpg,127101.jpg,144802.jpg,144702.jpg
111700.jpg,966.6666667,0.64699307,1.448,136902.jpg,132902.jpg,147701.jpg,126102.jpg,148301.jpg,132901.jpg,144702.jpg,114902.jpg,140701.jpg,146502.jpg
136400.jpg,648.6666667,0.433713391,1.504,146502.jpg,114901.jpg,114902.jpg,148701.jpg,143301.jpg,136002.jpg,134403.jpg,119602.jpg,102601.jpg,126102.jpg
147000.jpg,228,0.152246814,1.545,146502.jpg,114901.jpg,148701.jpg,114902.jpg,114903.jpg,134403.jpg,144802.jpg,147402.jpg,149101.jpg,119602.jpg
149300.jpg,684,0.457746479,1.441,143301.jpg,138012.jpg,110201.jpg,144903.jpg,140601.jpg,121701.jpg,119605.jpg,146003.jpg,138002.jpg,114901.jpg
103300.jpg,351.25,0.233903421,1.518,136804.jpg,140601.jpg,136805.jpg,138201.jpg,136802.jpg,143301.jpg,110201.jpg,138011.jpg,136803.jpg,136002.jpg
