,filename,rank,rank_n,time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
0,108200.jpg,317.6666666666667,0.21171473284149342,1.315,100302.jpg,147701.jpg,100301.jpg,146601.jpg,136901.jpg,146502.jpg,148301.jpg,136903.jpg,109501.jpg,147401.jpg
0,148600.jpg,330.3333333333333,0.22021014978761458,1.628,114901.jpg,146502.jpg,114903.jpg,149101.jpg,147402.jpg,148701.jpg,127101.jpg,109501.jpg,114902.jpg,102601.jpg
0,148800.jpg,335.0,0.22401073105298458,1.41,136902.jpg,132902.jpg,126102.jpg,147701.jpg,146602.jpg,148301.jpg,146601.jpg,148003.jpg,144702.jpg,100302.jpg
0,117400.jpg,239.66666666666666,0.15940084954169462,1.686,136802.jpg,136804.jpg,137101.jpg,136707.jpg,136703.jpg,100301.jpg,146003.jpg,138005.jpg,136901.jpg,147402.jpg
0,144700.jpg,54.5,0.034875922199865864,1.539,146502.jpg,114901.jpg,134401.jpg,144704.jpg,114903.jpg,147402.jpg,114902.jpg,144702.jpg,136707.jpg,109501.jpg
0,125200.jpg,372.3333333333333,0.24837916387212164,1.572,136802.jpg,147402.jpg,112201.jpg,147401.jpg,145502.jpg,125201.jpg,148101.jpg,100301.jpg,136804.jpg,144802.jpg
0,104100.jpg,1.0,0.0,1.415,104101.jpg,136801.jpg,103102.jpg,103902.jpg,104006.jpg,103101.jpg,103901.jpg,104005.jpg,104002.jpg,104001.jpg
0,134500.jpg,897.0,0.5999329309188464,1.685,136902.jpg,144702.jpg,148301.jpg,148003.jpg,132902.jpg,146602.jpg,147701.jpg,143301.jpg,126102.jpg,138012.jpg
0,121200.jpg,956.0,0.6405097250167673,1.28,110201.jpg,144702.jpg,148301.jpg,148202.jpg,146601.jpg,143301.jpg,100301.jpg,118003.jpg,136802.jpg,146602.jpg
0,145900.jpg,675.0,0.4517102615694165,1.837,136902.jpg,144702.jpg,132902.jpg,148301.jpg,147701.jpg,148003.jpg,136903.jpg,126102.jpg,114901.jpg,100302.jpg
0,141300.jpg,830.25,0.5551643192488263,1.507,148701.jpg,146502.jpg,149101.jpg,114903.jpg,144802.jpg,114901.jpg,147402.jpg,121701.jpg,134401.jpg,105802.jpg
0,110500.jpg,152.0,0.10127431254191817,1.382,138005.jpg,136803.jpg,146003.jpg,136804.jpg,146102.jpg,138002.jpg,138004.jpg,136805.jpg,138010.jpg,146001.jpg
0,112900.jpg,308.5,0.20590207914151576,1.607,136802.jpg,136901.jpg,146502.jpg,137101.jpg,136804.jpg,146701.jpg,112101.jpg,145502.jpg,100301.jpg,147402.jpg
0,132800.jpg,589.0,0.39436619718309857,1.454,147701.jpg,146502.jpg,114902.jpg,132902.jpg,146601.jpg,136903.jpg,148701.jpg,100302.jpg,148301.jpg,138012.jpg
0,139700.jpg,341.0,0.22803487592219987,1.437,135801.jpg,135802.jpg,146502.jpg,147401.jpg,147701.jpg,100302.jpg,148002.jpg,137002.jpg,100301.jpg,146601.jpg
0,121300.jpg,846.0,0.5667337357478203,1.378,138005.jpg,146001.jpg,147402.jpg,146502.jpg,146003.jpg,136703.jpg,146102.jpg,100301.jpg,136802.jpg,138004.jpg
0,105800.jpg,158.0,0.10496311200536552,1.651,121701.jpg,114901.jpg,148701.jpg,146502.jpg,149101.jpg,144702.jpg,119602.jpg,144902.jpg,140901.jpg,119604.jpg
0,112000.jpg,512.0,0.3420523138832998,1.423,147701.jpg,138012.jpg,100301.jpg,100302.jpg,136802.jpg,146601.jpg,145502.jpg,148301.jpg,136804.jpg,146003.jpg
0,122100.jpg,531.0,0.3551307847082495,1.362,146502.jpg,136707.jpg,136901.jpg,148301.jpg,147701.jpg,144702.jpg,109501.jpg,114902.jpg,114903.jpg,144802.jpg
0,114500.jpg,285.75,0.18997317236753855,1.695,136804.jpg,136802.jpg,136805.jpg,140601.jpg,136803.jpg,137101.jpg,144903.jpg,138012.jpg,138005.jpg,138004.jpg
0,118700.jpg,253.0,0.16901408450704225,1.958,146502.jpg,147701.jpg,114902.jpg,148701.jpg,145502.jpg,148301.jpg,146002.jpg,138005.jpg,136802.jpg,114903.jpg
0,104500.jpg,503.0,0.3363514419852448,1.385,147402.jpg,136802.jpg,136804.jpg,112201.jpg,134401.jpg,146502.jpg,100301.jpg,147401.jpg,138012.jpg,146003.jpg
0,141700.jpg,233.75,0.1550972501676727,1.357,140601.jpg,136801.jpg,144902.jpg,144903.jpg,121701.jpg,134403.jpg,119605.jpg,102501.jpg,146502.jpg,114903.jpg
0,138600.jpg,253.6,0.168075117370892,1.676,114901.jpg,146502.jpg,144802.jpg,144702.jpg,100301.jpg,134403.jpg,114903.jpg,134401.jpg,147401.jpg,147701.jpg
0,126800.jpg,598.0,0.3980549966465459,1.315,136901.jpg,100302.jpg,100301.jpg,136802.jpg,147701.jpg,137101.jpg,146601.jpg,145502.jpg,146003.jpg,148301.jpg
0,106100.jpg,5.0,0.0026827632461435278,1.338,138001.jpg,146102.jpg,146801.jpg,104203.jpg,106101.jpg,136803.jpg,136805.jpg,104202.jpg,140902.jpg,130801.jpg
0,136100.jpg,403.3333333333333,0.26917057902973396,1.681,144702.jpg,114901.jpg,110201.jpg,121701.jpg,127101.jpg,149101.jpg,146502.jpg,138011.jpg,143301.jpg,144902.jpg
0,105200.jpg,943.0,0.6317907444668008,1.389,136804.jpg,136802.jpg,136805.jpg,136803.jpg,146801.jpg,138201.jpg,146102.jpg,140902.jpg,137101.jpg,146701.jpg
0,121700.jpg,1.0,0.0,1.568,121701.jpg,114901.jpg,135701.jpg,135702.jpg,136801.jpg,146502.jpg,135104.jpg,102501.jpg,114903.jpg,144902.jpg
0,123600.jpg,30.5,0.019450033534540577,1.401,140601.jpg,136804.jpg,136803.jpg,136802.jpg,136805.jpg,123601.jpg,138201.jpg,138005.jpg,138002.jpg,146003.jpg
0,149500.jpg,83.0,0.05499664654594232,1.376,140601.jpg,103401.jpg,103101.jpg,103901.jpg,103102.jpg,103902.jpg,136803.jpg,136801.jpg,138002.jpg,104005.jpg
0,103100.jpg,2.0,0.00033534540576794097,1.308,103101.jpg,103901.jpg,103102.jpg,103902.jpg,103401.jpg,136801.jpg,140601.jpg,104006.jpg,104005.jpg,104101.jpg
0,118700.jpg,253.0,0.16901408450704225,1.329,146502.jpg,147701.jpg,114902.jpg,148701.jpg,145502.jpg,148301.jpg,146002.jpg,138005.jpg,136802.jpg,114903.jpg
0,135500.jpg,415.0,0.27699530516431925,1.404,100302.jpg,100301.jpg,147701.jpg,146502.jpg,136901.jpg,146601.jpg,148301.jpg,147401.jpg,109501.jpg,114903.jpg
0,106100.jpg,5.0,0.0026827632461435278,1.222,138001.jpg,146102.jpg,146801.jpg,104203.jpg,106101.jpg,136803.jpg,136805.jpg,104202.jpg,140902.jpg,130801.jpg
0,114500.jpg,285.75,0.18997317236753855,1.364,136804.jpg,136802.jpg,136805.jpg,140601.jpg,136803.jpg,137101.jpg,144903.jpg,138012.jpg,138005.jpg,138004.jpg
0,145800.jpg,566.6666666666666,0.37871674491392804,1.322,136802.jpg,100301.jpg,144802.jpg,147402.jpg,136804.jpg,112101.jpg,145502.jpg,134403.jpg,112201.jpg,100302.jpg
0,134200.jpg,754.0,0.5050301810865191,1.554,138004.jpg,146502.jpg,138012.jpg,100301.jpg,145502.jpg,147701.jpg,146701.jpg,138005.jpg,136802.jpg,148301.jpg
0,119900.jpg,237.0,0.15828303152246814,1.499,136802.jpg,136804.jpg,100301.jpg,134403.jpg,147402.jpg,145502.jpg,147401.jpg,119605.jpg,100302.jpg,112101.jpg
0,124200.jpg,231.0,0.15392354124748492,1.545,136802.jpg,137101.jpg,136804.jpg,137102.jpg,138201.jpg,136901.jpg,136805.jpg,136703.jpg,137103.jpg,112201.jpg
0,115100.jpg,119.0,0.07914151576123407,1.346,147701.jpg,114902.jpg,148301.jpg,146502.jpg,109501.jpg,144702.jpg,100302.jpg,136903.jpg,100301.jpg,132902.jpg
0,119400.jpg,6.0,0.0033534540576794095,1.351,136804.jpg,136802.jpg,137101.jpg,136805.jpg,146801.jpg,119401.jpg,138004.jpg,137102.jpg,137103.jpg,138005.jpg
0,131700.jpg,468.0,0.3132126089872569,1.419,121701.jpg,114901.jpg,146502.jpg,136002.jpg,138011.jpg,102501.jpg,148701.jpg,114903.jpg,110201.jpg,144704.jpg
0,107200.jpg,385.0,0.2568745808182428,1.325,103102.jpg,103902.jpg,103101.jpg,103901.jpg,104101.jpg,104005.jpg,136801.jpg,140601.jpg,103401.jpg,104006.jpg
0,106700.jpg,377.0,0.2511737089201878,1.208,140601.jpg,103102.jpg,103902.jpg,136801.jpg,138002.jpg,136803.jpg,103101.jpg,103901.jpg,104005.jpg,103401.jpg
0,125100.jpg,21.5,0.013413816230717638,1.48,134403.jpg,143301.jpg,140601.jpg,144903.jpg,125102.jpg,119605.jpg,138012.jpg,119603.jpg,144902.jpg,103101.jpg
0,129600.jpg,497.0,0.3323272971160295,1.257,145502.jpg,100301.jpg,117601.jpg,125601.jpg,144802.jpg,136802.jpg,134403.jpg,119603.jpg,106501.jpg,119605.jpg
0,124100.jpg,76.0,0.05030181086519114,1.252,140601.jpg,147402.jpg,136802.jpg,136804.jpg,134401.jpg,134402.jpg,136703.jpg,144802.jpg,119603.jpg,138201.jpg
0,123800.jpg,3.0,0.0013413816230717639,1.345,136803.jpg,138201.jpg,123801.jpg,136805.jpg,136804.jpg,146801.jpg,140601.jpg,138002.jpg,106401.jpg,140902.jpg
0,105300.jpg,67.0,0.04426559356136821,1.498,146102.jpg,146701.jpg,136804.jpg,136805.jpg,138004.jpg,138005.jpg,146003.jpg,136803.jpg,146801.jpg,136802.jpg
