filename,rank,rank_n,time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
107200.jpg,12.66666667,0.007154035,2.634,107201.jpg,107203.jpg,103401.jpg,107001.jpg,106202.jpg,103102.jpg,103902.jpg,103101.jpg,103901.jpg,106201.jpg
119900.jpg,22,0.014084507,2.916,119202.jpg,147001.jpg,119603.jpg,119203.jpg,119201.jpg,140803.jpg,140801.jpg,119605.jpg,114504.jpg,147801.jpg
121500.jpg,268,0.179074447,2.407,112902.jpg,100701.jpg,149302.jpg,142201.jpg,149401.jpg,133802.jpg,136501.jpg,126801.jpg,101301.jpg,133202.jpg
131100.jpg,285.5,0.19047619,2.33,106403.jpg,106401.jpg,132511.jpg,142701.jpg,126001.jpg,126002.jpg,120401.jpg,119704.jpg,104501.jpg,112501.jpg
135100.jpg,3.5,0.000670691,2.483,147202.jpg,135101.jpg,135102.jpg,135103.jpg,135104.jpg,100101.jpg,145801.jpg,136101.jpg,147603.jpg,135503.jpg
114400.jpg,17.5,0.010731053,2.359,109402.jpg,109401.jpg,114401.jpg,109701.jpg,123301.jpg,137602.jpg,116002.jpg,114503.jpg,123205.jpg,137201.jpg
129400.jpg,48,0.031522468,2.732,144201.jpg,144601.jpg,132201.jpg,138701.jpg,138707.jpg,129301.jpg,105801.jpg,144301.jpg,138702.jpg,143601.jpg
100500.jpg,5,0.002012072,2.478,100502.jpg,112601.jpg,112602.jpg,100001.jpg,100302.jpg,100501.jpg,120101.jpg,100503.jpg,114801.jpg,113201.jpg
111400.jpg,32,0.020791415,2.343,100502.jpg,112601.jpg,112602.jpg,100001.jpg,100501.jpg,100302.jpg,120101.jpg,100503.jpg,113201.jpg,114801.jpg
106100.jpg,4,0.002012072,2.55,122302.jpg,123402.jpg,123403.jpg,106101.jpg,122301.jpg,120703.jpg,120702.jpg,120701.jpg,122504.jpg,122503.jpg
120600.jpg,235,0.15694165,2.496,114002.jpg,113001.jpg,122709.jpg,109901.jpg,141201.jpg,115601.jpg,143001.jpg,141202.jpg,137603.jpg,137601.jpg
101100.jpg,10,0.006036217,2.503,138703.jpg,138706.jpg,138708.jpg,124501.jpg,138704.jpg,138705.jpg,108902.jpg,108901.jpg,139003.jpg,101101.jpg
134300.jpg,77,0.050972502,2.809,103302.jpg,131603.jpg,103301.jpg,113401.jpg,128201.jpg,131102.jpg,106402.jpg,144102.jpg,112001.jpg,126704.jpg
105600.jpg,1,0,2.369,105601.jpg,112501.jpg,119702.jpg,104501.jpg,119704.jpg,142701.jpg,126002.jpg,132511.jpg,106403.jpg,126001.jpg
104500.jpg,75.5,0.04963112,2.364,122302.jpg,123402.jpg,106101.jpg,123403.jpg,122301.jpg,123404.jpg,112003.jpg,104502.jpg,123401.jpg,124401.jpg
139500.jpg,7.833333333,0.002906327,2.418,139504.jpg,139501.jpg,139503.jpg,139505.jpg,138008.jpg,139502.jpg,138503.jpg,138603.jpg,145201.jpg,144702.jpg
125200.jpg,15.66666667,0.009166108,2.317,138702.jpg,125201.jpg,125202.jpg,125102.jpg,125101.jpg,109802.jpg,149701.jpg,109701.jpg,109801.jpg,105801.jpg
101100.jpg,10,0.006036217,2.467,138703.jpg,138706.jpg,138708.jpg,124501.jpg,138704.jpg,138705.jpg,108902.jpg,108901.jpg,139003.jpg,101101.jpg
117800.jpg,5.5,0.002682763,2.847,117801.jpg,140802.jpg,103201.jpg,149102.jpg,124601.jpg,108801.jpg,114503.jpg,118002.jpg,122001.jpg,117802.jpg
118300.jpg,34.33333333,0.02168567,2.394,118802.jpg,114903.jpg,118801.jpg,114902.jpg,117701.jpg,117901.jpg,114901.jpg,118202.jpg,144802.jpg,118201.jpg
121800.jpg,323,0.215962441,2.393,122702.jpg,119701.jpg,123601.jpg,122707.jpg,123602.jpg,121001.jpg,119602.jpg,122901.jpg,141801.jpg,103202.jpg
112700.jpg,19,0.012072435,2.575,112801.jpg,110702.jpg,138401.jpg,114002.jpg,113402.jpg,121801.jpg,113001.jpg,122101.jpg,143001.jpg,109901.jpg
107500.jpg,14,0.008718981,2.585,103502.jpg,104004.jpg,103702.jpg,103503.jpg,104003.jpg,101801.jpg,104101.jpg,104006.jpg,104002.jpg,104001.jpg
108000.jpg,16,0.010060362,2.416,117102.jpg,117101.jpg,108701.jpg,103002.jpg,108401.jpg,108601.jpg,122705.jpg,122704.jpg,149602.jpg,115602.jpg
141000.jpg,2,0.000670691,2.867,113402.jpg,141001.jpg,104301.jpg,112801.jpg,112701.jpg,114002.jpg,121801.jpg,122101.jpg,122102.jpg,113403.jpg
123600.jpg,8.5,0.004694836,2.386,124302.jpg,123501.jpg,124301.jpg,124201.jpg,123801.jpg,123701.jpg,124202.jpg,123601.jpg,123602.jpg,119701.jpg
107300.jpg,40,0.026156942,2.546,105103.jpg,130401.jpg,144103.jpg,125601.jpg,105501.jpg,132509.jpg,126401.jpg,105401.jpg,101403.jpg,101404.jpg
148700.jpg,84,0.055667337,2.445,148003.jpg,148002.jpg,147702.jpg,128002.jpg,148004.jpg,128401.jpg,148601.jpg,127802.jpg,144903.jpg,133501.jpg
117100.jpg,4,0.001676727,2.417,108401.jpg,103002.jpg,117101.jpg,108701.jpg,117102.jpg,108601.jpg,122705.jpg,115602.jpg,122704.jpg,141302.jpg
133300.jpg,121,0.080482897,2.882,112403.jpg,111703.jpg,112301.jpg,112302.jpg,111702.jpg,148601.jpg,112402.jpg,133501.jpg,102701.jpg,127901.jpg
109500.jpg,65,0.042924212,2.369,147303.jpg,137007.jpg,137004.jpg,137005.jpg,145801.jpg,146502.jpg,102601.jpg,147603.jpg,128401.jpg,102501.jpg
138600.jpg,4.8,0.001207243,2.449,138601.jpg,138604.jpg,137504.jpg,138602.jpg,137301.jpg,138502.jpg,106602.jpg,138605.jpg,138603.jpg,142502.jpg
106700.jpg,27.5,0.01676727,2.485,144103.jpg,111002.jpg,131601.jpg,103303.jpg,111001.jpg,126401.jpg,101401.jpg,105501.jpg,132509.jpg,101403.jpg
129200.jpg,60,0.039235412,2.41,126805.jpg,131102.jpg,143701.jpg,116802.jpg,112001.jpg,144102.jpg,131603.jpg,143101.jpg,143903.jpg,132601.jpg
135400.jpg,5,0.002347418,2.402,135401.jpg,134401.jpg,130301.jpg,134403.jpg,141901.jpg,134402.jpg,110802.jpg,110801.jpg,135402.jpg,136002.jpg
126100.jpg,7.5,0.004024145,2.814,126101.jpg,101701.jpg,101702.jpg,102301.jpg,137302.jpg,138602.jpg,140902.jpg,100902.jpg,107201.jpg,136901.jpg
120800.jpg,33,0.021462106,2.366,120703.jpg,120702.jpg,120701.jpg,122504.jpg,122503.jpg,134301.jpg,121501.jpg,121301.jpg,132501.jpg,144104.jpg
116900.jpg,64,0.042253521,2.381,132401.jpg,147701.jpg,136903.jpg,146102.jpg,146501.jpg,146101.jpg,128001.jpg,137002.jpg,118201.jpg,126301.jpg
135600.jpg,31,0.020120724,2.466,134503.jpg,136008.jpg,135703.jpg,136009.jpg,122202.jpg,122201.jpg,122203.jpg,134502.jpg,135701.jpg,119703.jpg
113900.jpg,42,0.027498323,2.384,119605.jpg,119203.jpg,119603.jpg,119201.jpg,119202.jpg,147001.jpg,147801.jpg,137602.jpg,140803.jpg,138401.jpg
141200.jpg,9,0.005030181,2.391,129801.jpg,121201.jpg,130601.jpg,129003.jpg,112901.jpg,129802.jpg,141201.jpg,122901.jpg,144901.jpg,144903.jpg
124100.jpg,2,0.000670691,2.848,124001.jpg,124101.jpg,124002.jpg,124202.jpg,123701.jpg,123801.jpg,124003.jpg,132502.jpg,124201.jpg,132507.jpg
137600.jpg,9.333333333,0.004918399,2.317,109901.jpg,143001.jpg,137603.jpg,122709.jpg,137601.jpg,115601.jpg,113001.jpg,114002.jpg,122102.jpg,112801.jpg
136500.jpg,52.8,0.033400402,2.539,149401.jpg,149302.jpg,100701.jpg,142201.jpg,133802.jpg,136501.jpg,126801.jpg,112902.jpg,101301.jpg,133202.jpg
121300.jpg,14,0.008718981,2.594,119701.jpg,123601.jpg,122702.jpg,123602.jpg,117701.jpg,118802.jpg,114903.jpg,118801.jpg,114901.jpg,114902.jpg
148600.jpg,49,0.031522468,2.476,100301.jpg,100302.jpg,109601.jpg,147303.jpg,100503.jpg,100501.jpg,113201.jpg,120101.jpg,111501.jpg,112401.jpg
119900.jpg,22,0.014084507,2.842,119202.jpg,147001.jpg,119603.jpg,119203.jpg,119201.jpg,140803.jpg,140801.jpg,119605.jpg,114504.jpg,147801.jpg
123500.jpg,12,0.007377599,2.408,122702.jpg,122801.jpg,122708.jpg,121501.jpg,141802.jpg,134003.jpg,141801.jpg,121401.jpg,119602.jpg,121402.jpg
139200.jpg,4.2,0.000804829,2.437,139203.jpg,139205.jpg,139201.jpg,109801.jpg,139202.jpg,142001.jpg,139103.jpg,115001.jpg,132701.jpg,139204.jpg
126500.jpg,5.5,0.002682763,2.35,126502.jpg,126402.jpg,101402.jpg,106403.jpg,142701.jpg,132511.jpg,132504.jpg,126901.jpg,132505.jpg,126501.jpg
