filename,rank,rank_n,time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
127100.jpg,3,0.001341382,2.324,133101.jpg,100401.jpg,127101.jpg,118003.jpg,146202.jpg,129002.jpg,137101.jpg,113701.jpg,131001.jpg,114702.jpg
146200.jpg,451.7142857,0.300277858,2.334,108801.jpg,149102.jpg,124601.jpg,114503.jpg,103201.jpg,140802.jpg,117801.jpg,122001.jpg,118002.jpg,115901.jpg
133800.jpg,544.5,0.364185111,2.853,141701.jpg,119703.jpg,135201.jpg,100902.jpg,106602.jpg,116501.jpg,141802.jpg,147601.jpg,122701.jpg,146301.jpg
138900.jpg,457.8,0.305030181,2.397,108203.jpg,137006.jpg,139201.jpg,142003.jpg,100902.jpg,106602.jpg,138503.jpg,135301.jpg,116501.jpg,138904.jpg
122100.jpg,3,0.001006036,2.322,122101.jpg,121801.jpg,113402.jpg,112801.jpg,122102.jpg,138401.jpg,113601.jpg,114002.jpg,141201.jpg,141202.jpg
117300.jpg,7.5,0.004024145,2.496,101504.jpg,104802.jpg,143702.jpg,101502.jpg,127001.jpg,117301.jpg,102802.jpg,134603.jpg,117302.jpg,134604.jpg
147200.jpg,726,0.485915493,2.367,146207.jpg,134601.jpg,148603.jpg,135301.jpg,135701.jpg,106602.jpg,110001.jpg,100902.jpg,119703.jpg,141701.jpg
116700.jpg,46.66666667,0.029957523,2.301,119401.jpg,119801.jpg,116702.jpg,146207.jpg,141701.jpg,116701.jpg,106602.jpg,119703.jpg,135301.jpg,100902.jpg
109400.jpg,92.5,0.061032864,2.749,109401.jpg,139202.jpg,139502.jpg,138503.jpg,106602.jpg,142003.jpg,122701.jpg,135301.jpg,146301.jpg,116501.jpg
110900.jpg,1,0,2.209,110901.jpg,138503.jpg,126101.jpg,100902.jpg,106602.jpg,116501.jpg,146301.jpg,119703.jpg,144702.jpg,135301.jpg
147000.jpg,595,0.398390342,2.366,140803.jpg,114504.jpg,122203.jpg,140801.jpg,122202.jpg,144702.jpg,103202.jpg,147103.jpg,147101.jpg,119703.jpg
142500.jpg,47,0.030516432,2.261,142502.jpg,137301.jpg,138602.jpg,106602.jpg,138503.jpg,116501.jpg,100902.jpg,135301.jpg,106605.jpg,126101.jpg
119200.jpg,5,0.002012072,2.278,119203.jpg,119605.jpg,140803.jpg,147001.jpg,119202.jpg,119603.jpg,147801.jpg,140801.jpg,119201.jpg,137602.jpg
121600.jpg,2,0.000670691,2.752,120801.jpg,121601.jpg,112002.jpg,122501.jpg,122301.jpg,121101.jpg,121404.jpg,120901.jpg,141202.jpg,110701.jpg
108500.jpg,617,0.41314554,2.327,100902.jpg,141701.jpg,106602.jpg,119703.jpg,116501.jpg,138503.jpg,135301.jpg,126101.jpg,146301.jpg,106605.jpg
149000.jpg,879,0.588531187,2.358,106602.jpg,126101.jpg,138503.jpg,142003.jpg,146301.jpg,106605.jpg,126102.jpg,122707.jpg,116501.jpg,100902.jpg
139300.jpg,631.3333333,0.422088084,2.569,131701.jpg,138904.jpg,145101.jpg,138507.jpg,142003.jpg,138503.jpg,138505.jpg,106602.jpg,137302.jpg,116501.jpg
