,filename,rank,rank_n,time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
0,148400.jpg,383.0,0.2562038900067069,2.577,148202.jpg,128002.jpg,136903.jpg,147701.jpg,128001.jpg,137002.jpg,146501.jpg,146102.jpg,148301.jpg,126301.jpg
0,136700.jpg,4.428571428571429,0.0002874389192296637,2.302,136701.jpg,136705.jpg,136706.jpg,136707.jpg,136703.jpg,118701.jpg,136704.jpg,131901.jpg,136702.jpg,127201.jpg
0,143200.jpg,29.0,0.018779342723004695,2.384,132902.jpg,132901.jpg,146403.jpg,139001.jpg,139005.jpg,138503.jpg,132102.jpg,138504.jpg,138507.jpg,139003.jpg
0,110600.jpg,1.0,0.0,2.34,110601.jpg,138705.jpg,106001.jpg,145101.jpg,138702.jpg,139602.jpg,118401.jpg,142401.jpg,133602.jpg,132101.jpg
0,148500.jpg,14.0,0.008718980549966466,2.234,119101.jpg,116301.jpg,116201.jpg,113502.jpg,119601.jpg,115501.jpg,113501.jpg,145601.jpg,117401.jpg,140502.jpg
0,118800.jpg,5.333333333333333,0.00223563603845294,2.288,114903.jpg,118802.jpg,118801.jpg,114902.jpg,117901.jpg,117701.jpg,114901.jpg,118202.jpg,144802.jpg,118201.jpg
0,146700.jpg,251.0,0.1676727028839705,2.507,141704.jpg,147802.jpg,118401.jpg,114502.jpg,110701.jpg,111101.jpg,115101.jpg,128101.jpg,120601.jpg,122901.jpg
0,124500.jpg,6.0,0.0033534540576794095,2.151,123201.jpg,121901.jpg,138704.jpg,147602.jpg,117001.jpg,124501.jpg,112701.jpg,140601.jpg,138703.jpg,114701.jpg
0,111600.jpg,50.0,0.03286384976525822,2.309,112403.jpg,112402.jpg,102701.jpg,112301.jpg,111703.jpg,112302.jpg,111702.jpg,127301.jpg,112406.jpg,148601.jpg
0,139000.jpg,5.4,0.0016096579476861167,2.596,139504.jpg,139005.jpg,139001.jpg,139004.jpg,139501.jpg,139003.jpg,139505.jpg,139503.jpg,139502.jpg,143201.jpg
0,143300.jpg,1.0,0.0,2.176,143301.jpg,136704.jpg,145801.jpg,118803.jpg,136705.jpg,136901.jpg,141501.jpg,137101.jpg,136706.jpg,125001.jpg
0,110000.jpg,5.0,0.0026827632461435278,2.217,111201.jpg,104502.jpg,104501.jpg,106403.jpg,110001.jpg,119704.jpg,126001.jpg,132511.jpg,142701.jpg,112003.jpg
0,104100.jpg,6.0,0.0033534540576794095,2.382,103502.jpg,101801.jpg,104004.jpg,103503.jpg,103702.jpg,104101.jpg,104006.jpg,104002.jpg,104001.jpg,104005.jpg
0,146500.jpg,9.5,0.0053655264922870555,2.358,147701.jpg,136903.jpg,126301.jpg,146101.jpg,146102.jpg,146501.jpg,128001.jpg,137002.jpg,128002.jpg,148301.jpg
0,138200.jpg,3.0,0.0006706908115358819,2.316,121403.jpg,138201.jpg,138202.jpg,138203.jpg,110302.jpg,126101.jpg,126102.jpg,110501.jpg,148004.jpg,135901.jpg
0,134500.jpg,123.0,0.08081824279007377,2.542,144001.jpg,134501.jpg,135802.jpg,135801.jpg,133301.jpg,136504.jpg,135201.jpg,114504.jpg,135702.jpg,141901.jpg
0,136500.jpg,52.8,0.03340040241448692,2.364,149401.jpg,149302.jpg,100701.jpg,142201.jpg,133802.jpg,136501.jpg,126801.jpg,112902.jpg,101301.jpg,133202.jpg
0,143700.jpg,8.0,0.004359490274983233,2.294,143702.jpg,106603.jpg,102802.jpg,117302.jpg,134603.jpg,134604.jpg,117301.jpg,104802.jpg,101504.jpg,127001.jpg
0,107500.jpg,14.0,0.008718980549966466,2.584,103502.jpg,104004.jpg,103702.jpg,103503.jpg,101801.jpg,104003.jpg,104101.jpg,104006.jpg,104002.jpg,104001.jpg
0,146000.jpg,145.66666666666666,0.09635591325732171,2.282,148001.jpg,125201.jpg,148101.jpg,117501.jpg,140601.jpg,144903.jpg,148603.jpg,135801.jpg,109501.jpg,148202.jpg
0,137300.jpg,21.5,0.013413816230717638,2.33,137704.jpg,137705.jpg,137702.jpg,135502.jpg,135501.jpg,135503.jpg,138701.jpg,137701.jpg,139401.jpg,139302.jpg
0,133400.jpg,150.0,0.0999329309188464,2.575,105601.jpg,112501.jpg,119702.jpg,104501.jpg,119704.jpg,142701.jpg,126002.jpg,106403.jpg,126001.jpg,132511.jpg
0,100900.jpg,26.5,0.01676727028839705,2.336,100902.jpg,100801.jpg,133101.jpg,127202.jpg,137103.jpg,146202.jpg,147304.jpg,137101.jpg,133201.jpg,146901.jpg
0,138800.jpg,11.333333333333334,0.006259780907668232,2.223,138802.jpg,139701.jpg,131701.jpg,138904.jpg,138507.jpg,138505.jpg,139303.jpg,138905.jpg,138803.jpg,138504.jpg
0,147500.jpg,2.5,0.0006706908115358819,2.521,126902.jpg,147502.jpg,147501.jpg,126806.jpg,129901.jpg,100902.jpg,134602.jpg,132509.jpg,124802.jpg,134601.jpg
0,137900.jpg,2.0,0.0006706908115358819,2.297,119703.jpg,137901.jpg,135901.jpg,129201.jpg,128401.jpg,143802.jpg,148601.jpg,135902.jpg,133501.jpg,136401.jpg
0,135900.jpg,14.5,0.008718980549966466,2.369,136401.jpg,136403.jpg,136203.jpg,136202.jpg,136201.jpg,137802.jpg,136402.jpg,137801.jpg,127901.jpg,135902.jpg
0,105800.jpg,11.0,0.006371562709590878,2.478,149201.jpg,118101.jpg,114001.jpg,105801.jpg,146801.jpg,110901.jpg,137302.jpg,100902.jpg,100801.jpg,144702.jpg
0,114200.jpg,31.0,0.02012072434607646,2.257,116001.jpg,116402.jpg,140502.jpg,111901.jpg,144701.jpg,115501.jpg,148501.jpg,113501.jpg,115801.jpg,145601.jpg
0,103500.jpg,9.666666666666666,0.005141962888441762,2.221,104004.jpg,104006.jpg,103503.jpg,103702.jpg,104002.jpg,104001.jpg,104005.jpg,104101.jpg,103502.jpg,101801.jpg
0,138800.jpg,11.333333333333334,0.006259780907668232,2.432,138802.jpg,139701.jpg,131701.jpg,138904.jpg,138507.jpg,138505.jpg,139303.jpg,138905.jpg,138803.jpg,138504.jpg
0,127100.jpg,4.0,0.002012072434607646,2.304,133101.jpg,100401.jpg,140201.jpg,127101.jpg,146202.jpg,133201.jpg,137101.jpg,146901.jpg,137103.jpg,118003.jpg
0,137900.jpg,2.0,0.0006706908115358819,2.238,119703.jpg,137901.jpg,135901.jpg,129201.jpg,128401.jpg,143802.jpg,148601.jpg,135902.jpg,133501.jpg,136401.jpg
0,133400.jpg,150.0,0.0999329309188464,2.457,105601.jpg,112501.jpg,119702.jpg,104501.jpg,119704.jpg,142701.jpg,126002.jpg,106403.jpg,126001.jpg,132511.jpg
0,144100.jpg,19.5,0.011401743796109993,2.273,144101.jpg,105501.jpg,126401.jpg,101403.jpg,101401.jpg,101404.jpg,144103.jpg,131601.jpg,132509.jpg,132506.jpg
0,120100.jpg,9.0,0.0053655264922870555,2.409,114801.jpg,120201.jpg,100502.jpg,112601.jpg,112602.jpg,100001.jpg,120301.jpg,100302.jpg,120101.jpg,100503.jpg
0,141400.jpg,17.0,0.010731052984574111,2.734,134002.jpg,102501.jpg,130302.jpg,126102.jpg,102601.jpg,122202.jpg,134503.jpg,144902.jpg,136008.jpg,126701.jpg
0,124000.jpg,3.3333333333333335,0.000894254415381176,2.386,124002.jpg,124001.jpg,124101.jpg,124202.jpg,123701.jpg,123801.jpg,124003.jpg,124201.jpg,132502.jpg,132507.jpg
0,112300.jpg,12.5,0.007377598926894702,2.203,102701.jpg,112404.jpg,127301.jpg,112405.jpg,112402.jpg,111701.jpg,112406.jpg,112403.jpg,112407.jpg,112408.jpg
0,140000.jpg,59.0,0.038900067069081154,2.522,112406.jpg,112408.jpg,143802.jpg,128401.jpg,135901.jpg,133501.jpg,144804.jpg,113301.jpg,135902.jpg,148601.jpg
0,128100.jpg,2.0,0.0006706908115358819,2.322,122203.jpg,128101.jpg,147103.jpg,146206.jpg,145901.jpg,100101.jpg,148201.jpg,122201.jpg,113101.jpg,109501.jpg
0,115200.jpg,104.0,0.06908115358819585,2.278,112901.jpg,122001.jpg,122002.jpg,122101.jpg,137602.jpg,140802.jpg,122102.jpg,141201.jpg,112701.jpg,103201.jpg
